ticker,XTEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-13,-1.9607999999999999
2011-01-27,0.0
2011-02-22,350.0
2011-04-29,-44.4444
2012-05-21,-12.8
2012-05-30,0.9174
2012-06-20,-31.8182
2012-07-20,173.3333
2012-08-03,-26.8293
2012-09-04,0.0
2012-10-19,-46.6667
2012-11-12,-36.125
2012-11-20,1.7612999999999999
2013-02-14,15.3846
2013-06-19,0.0
2013-07-17,68.3333
2013-10-15,0.0
2014-03-03,-1.9802
2014-03-06,0.0
2014-03-07,1.0101
2014-03-11,0.0
2014-03-20,1.0
2014-03-21,8.9109
2014-03-25,36.3636
2014-03-27,100.0
2014-03-31,-1.6667
2014-04-01,3.3898
2014-05-15,0.0
2014-05-16,-31.1475
2014-05-19,0.0
2014-05-21,80.4762
2014-05-27,-1.0554
2014-08-29,8.2667
2014-10-15,-1.4778
2014-10-22,-25.0
2014-10-29,-0.3333
2014-12-29,2.0067
2015-02-23,-18.0328
2015-03-12,-20.0
2015-03-13,0.0
2015-04-14,-15.0
2015-06-01,2.9412000000000003
2015-06-02,14.2857
2015-06-11,47.5
2015-06-18,12.8814
2015-07-30,9.6096
2015-09-02,-17.8082
2015-09-08,-60.6667
2015-09-17,70.339
2015-09-23,56.7164
2015-10-07,30.7937
2015-12-02,-75.7282
2015-12-03,100.0
2015-12-09,27.5
2015-12-15,58.0392
2016-05-20,-19.3548
2016-05-27,-11.3846
2016-06-17,69.7917
2016-07-12,-36.1963
2016-07-25,-3.8462
2016-07-29,63.0
2016-08-30,1.8405
2016-09-15,-51.8072
2016-09-19,-16.6667
2016-09-20,0.0
2016-10-04,50.0
2016-10-05,-33.3333
2016-10-06,75.0
2016-10-10,28.0
2016-10-11,19.6429
2016-10-14,-7.2761
2016-10-17,-34.004
2016-10-18,-6.5739
2016-10-20,-29.8389
2016-10-21,-3.7209
2016-10-24,-0.9662
2016-10-25,-1.9512
2016-10-26,38.3085
2016-10-27,4.3165
2016-10-28,1.0345
2016-10-31,0.6826
2016-11-01,-15.2542
2016-11-08,-5.2
2016-11-09,0.0
2016-11-10,0.4219
2016-11-11,0.0
2016-11-14,63.0252
2016-11-15,-13.4021
2016-12-02,-34.2262
2016-12-06,126.2443
2016-12-08,-28.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-16,-16.6667
2016-12-20,-25.0
2016-12-23,20.8889
2017-02-07,6.6176
2017-02-08,9.6552
2017-02-10,0.0
2017-02-21,-13.522
2017-02-22,0.0
