ticker,OXIHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-17,-97.0588
2004-05-21,0.0
2004-05-25,150.0
2004-05-26,-60.0
2004-05-28,130.0
2004-06-04,95.6522
2004-06-07,0.0
2004-06-09,22.2222
2004-07-22,0.0
2004-08-04,-54.5455
2004-08-09,76.0
2004-08-27,-54.5455
2004-11-10,25.0
2004-12-13,-40.0
2004-12-20,-33.3333
2004-12-28,0.0
2005-01-04,40.0
2005-01-06,-50.0
2005-01-07,42.8571
2005-01-10,0.0
2005-01-14,0.0
2005-01-19,-40.0
2005-01-26,66.6667
2005-02-07,0.0
2005-02-24,0.0
2005-03-10,50.0
2005-03-30,0.0
2005-05-25,-86.6667
2005-06-10,150.0
2005-07-15,-78.0
2005-07-18,81.8182
2005-07-22,0.0
2005-08-04,50.0
2005-08-08,33.3333
2005-09-09,100.0
2005-09-13,-25.0
2005-10-13,0.0
2005-10-14,33.3333
2005-11-22,0.0
2005-11-25,-12.5
2005-12-05,14.2857
2005-12-13,0.0
2005-12-20,-25.0
2006-02-16,-33.3333
2006-02-28,150.0
2006-03-01,-20.0
2006-03-22,0.0
2006-04-11,112.5
2006-04-12,-11.7647
2006-04-24,13.3333
2006-04-28,-11.7647
2006-05-08,-13.3333
2006-05-23,0.0
2006-06-15,7.6923
2006-06-16,42.8571
2006-06-19,25.0
2006-06-21,-2.0
2006-06-22,-6.1224
2006-06-27,0.0
2006-06-28,86.9565
2006-06-29,3.4884
2006-07-05,-5.618
2006-07-07,2.3810000000000002
2006-07-11,13.9535
2006-07-12,-38.7755
2006-07-13,56.6667
2006-07-17,-14.8936
2006-07-18,-10.0
2006-07-20,8.3333
2006-07-24,-23.0769
2006-07-25,30.0
2006-07-26,-15.3846
2006-07-27,-9.0909
2006-07-28,30.0
2006-07-31,0.0
2006-08-01,2.5641
2006-08-02,-5.0
2006-08-04,18.4211
2006-08-09,0.0
2006-08-14,0.0
2006-08-15,-2.2222
2006-08-17,-10.2273
2006-08-18,11.3924
2006-08-22,2.2727
2006-08-23,0.0
2006-08-24,-15.5556
2006-08-28,23.6842
2006-08-31,-29.7872
2006-09-01,6.0606
2006-09-05,37.1429
2006-09-06,4.1667
2006-09-07,2.0
2006-09-08,-13.7255
2006-09-11,6.8182
2006-09-12,0.0
2006-09-18,0.0
2006-09-19,-25.5319
2006-09-20,28.5714
2006-09-21,-11.1111
2006-09-22,12.5
2006-09-25,-2.2222
2006-09-26,2.2727
2006-09-27,-11.1111
2006-10-02,0.0
