ticker,RADI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-10,-1.5634000000000001
2019-06-28,-8.789
2019-07-05,1.1976
2019-07-23,0.5917
2019-07-24,0.5882
2019-09-05,5.3158
2019-09-19,4.3922
2019-09-23,-2.3404
2020-04-02,-22.658
2020-04-13,-1.4085
2020-04-15,0.0
