ticker,NXPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-06,0.0
2010-08-09,0.0
2010-08-10,-2.8571
2010-08-11,-6.25
2010-08-12,-2.8235
2010-08-13,-3.1477
2010-08-16,-1.8333
2010-08-17,3.7351
2010-08-18,-1.8003
2010-08-19,-3.75
2010-08-20,-3.4632
2010-08-23,-1.5247000000000002
2010-08-24,-2.7321999999999997
2010-08-25,0.6554
2010-08-26,2.3256
2010-08-27,1.0
2010-08-30,-0.135
2010-08-31,-0.1803
2010-09-01,5.9142
2010-09-02,1.1935
2010-09-03,0.1685
2010-09-07,1.1775
2010-09-08,1.0806
2010-09-09,-2.1382
2010-09-10,0.6723
2010-09-13,-0.3339
2010-09-14,2.5126
2010-09-15,1.8791
2010-09-16,-3.6087
2010-09-17,0.4992
2010-09-20,5.0497
2010-09-21,-1.4184
2010-09-22,-2.6379
2010-09-23,-1.4778
2010-09-24,1.8333
2010-09-27,0.2455
2010-09-28,2.9388
2010-09-29,-0.4758
2010-09-30,-1.2749
2010-10-01,-0.2421
2010-10-04,-0.0809
2010-10-05,0.0
2010-10-06,0.9717
2010-10-07,-4.9719
2010-10-08,1.097
2010-10-11,0.5843
2010-10-12,2.0747
2010-10-13,-1.8699
2010-10-14,0.6628
2010-10-15,-1.7284000000000002
2010-10-18,2.5126
2010-10-19,-1.0621
2010-10-20,0.7432
2010-10-21,0.4098
2010-10-22,0.6531
2010-10-25,0.3244
2010-10-26,-0.7276
2010-10-27,3.9901999999999997
2010-10-28,3.289
2010-10-29,0.0
2010-11-01,-3.7908
2010-11-02,4.5705
2010-11-03,2.7553
2010-11-04,2.4522
2010-11-05,0.0
2010-11-08,-1.4316
2010-11-09,-1.0167
2010-11-10,-2.2744
2010-11-11,-3.491
2010-11-12,-0.2723
2010-11-15,1.248
2010-11-16,-1.0786
2010-11-17,-0.3115
2010-11-18,0.7813
2010-11-19,0.0
2010-11-22,0.6977
2010-11-23,-1.4627
2010-11-24,-1.0937999999999999
2010-11-26,1.3428
2010-11-29,-0.7794
2010-11-30,-1.1783
2010-12-01,5.4054
2010-12-02,5.4299
2010-12-03,15.4506
2010-12-06,-1.2392
2010-12-07,2.6976
2010-12-08,12.6451
2010-12-09,3.7419000000000002
2010-12-10,4.2865
2010-12-13,-5.4637
2010-12-14,-0.6893
2010-12-15,-2.1356
2010-12-16,0.6001
2010-12-17,-1.7896
2010-12-20,2.7057
2010-12-21,3.4946
2010-12-22,5.1948
2010-12-23,-0.7901
