ticker,ZNOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-04,-11.2628
2007-01-05,20.1923
2007-01-08,-3.76
2007-01-09,-4.4057
2007-01-10,-15.2174
2007-01-11,2.9987
2007-01-12,0.0759
2007-01-16,1.791
2007-01-17,-2.2483
2007-01-18,-2.5
2007-01-19,-13.7436
2007-01-22,-4.1617
2007-01-23,5.335
2007-01-24,-9.894
2007-01-25,1.3072
2007-01-26,1.9355
2007-01-29,-1.2658
2007-01-30,-3.8462
2007-01-31,0.0
2007-02-01,0.0
2007-02-02,4.8
2007-02-05,-0.7634
2007-02-06,0.0
2007-02-07,-3.2051
2007-02-08,1.3245
2007-02-09,-4.5752
2007-02-12,2.0548
2007-02-13,-0.6695
2007-02-14,-1.0828
2007-02-15,0.9563
2007-02-16,-0.2706
2007-02-20,4.6133
2007-02-21,-0.3875
2007-02-22,-1.6943000000000001
2007-02-23,-1.0596
2007-02-26,0.1339
2007-02-27,0.2674
2007-02-28,-0.6667
2007-03-01,0.6711
2007-03-02,1.0667
2007-03-05,-0.5277
2007-03-06,0.6631
2007-03-07,0.1318
2007-03-08,-0.6579
2007-03-09,1.1879
2007-03-12,21.0783
2007-03-13,-4.4324
2007-03-14,-2.7489
2007-03-15,-11.363
2007-03-16,5.6413
2007-03-19,2.9814
2007-03-20,-1.2078
2007-03-21,-1.3416000000000001
2007-03-22,-2.599
2007-03-23,0.2541
2007-03-26,6.4639
2007-03-27,1.1905000000000001
2007-03-28,0.5882
2007-03-29,-2.2061
2007-03-30,1.5383
2007-04-02,-1.5312000000000001
2007-04-03,-0.7177
2007-04-04,-3.012
2007-04-05,-0.7453
2007-04-09,0.7509
2007-04-10,-1.8634
2007-04-11,-1.1392
2007-04-12,-2.4328
2007-04-13,0.9186
2007-04-16,0.13
2007-04-17,-0.3896
2007-04-18,-0.2608
2007-04-19,0.1307
2007-04-20,-0.7833
2007-04-23,-0.6562
2007-04-24,1.1904
2007-04-25,-1.8325
2007-04-26,0.6667
2007-04-27,-1.0596
2007-04-30,-6.0241
2007-05-01,0.9972
2007-05-02,2.9619
2007-05-03,-2.0548
2007-05-04,-2.0979
2007-05-07,0.0
2007-05-08,-0.7125
2007-05-09,-0.2878
2007-05-10,-6.2048
2007-05-11,6.1518
2007-05-14,1.1594
2007-05-15,-4.7278
2007-05-16,0.7519
2007-05-17,0.7463
2007-05-18,2.9648
2007-05-21,0.7176
2007-05-22,-1.4285999999999999
2007-05-23,0.1594
2007-05-24,-2.1849
