ticker,FUST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-29,-19.2
2016-10-03,-0.9901
2016-11-18,-25.0
2016-12-05,66.6667
2016-12-08,0.0
2016-12-23,60.0
2016-12-28,-25.0
2017-03-07,16.6667
2017-03-09,71.4286
2017-03-10,0.3333
2017-03-15,66.113
2017-04-13,-37.4
2017-06-15,27.7955
2017-06-19,-18.75
2017-06-27,53.8462
2017-07-03,-60.6
2017-07-05,64.9746
2017-07-12,69.2308
2017-08-01,-22.7273
2017-08-04,11.8824
2017-08-08,-36.9085
2017-08-09,59.1667
2017-08-14,0.0
2017-08-17,4.712
2017-08-18,3.0
2017-08-22,1.9417
2017-09-05,-3.8095
2017-09-27,-30.6931
2017-10-13,-14.2857
2017-10-16,65.0
2017-10-17,-44.4444
2017-10-23,11.818200000000001
2017-10-31,5.6911000000000005
2017-11-07,15.3846
2017-12-06,-20.0
2017-12-08,83.3333
2017-12-11,10.9091
2017-12-12,-3.2787
2017-12-13,0.0
2017-12-15,1.6949
2017-12-18,-15.8333
2017-12-19,30.6436
2017-12-20,5.3429
2017-12-21,25.8993
2017-12-22,3.4286
2017-12-26,-1.105
2017-12-27,0.0
2018-01-04,3.0726
2018-01-05,-2.439
2018-01-08,38.8889
2018-01-16,-8.0
2018-01-17,3.9130000000000003
2018-01-18,-53.1381
2018-01-22,56.25
2018-01-23,-2.8571
2018-01-24,0.5882
2018-01-25,-18.1287
2018-01-26,31.4286
2018-01-30,-4.8913
2018-01-31,-5.1429
2018-02-08,-15.6627
2018-02-09,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,7.1429
2018-02-16,-6.6667
2018-02-20,0.0
2018-02-23,-4.6429
2018-02-26,-10.8614
2018-03-01,-7.563
2018-03-02,0.0
2018-03-05,4.5455
2018-03-06,-4.3478
2018-03-08,0.0
2018-03-14,0.0
2018-03-19,-4.5455
2018-03-20,-5.7143
2018-03-21,1.2626
2018-03-26,3.7406
2018-03-28,-9.6154
2018-03-29,0.0
2018-04-03,-9.5745
2018-04-04,-5.8824
2018-04-05,12.5
2018-04-11,-22.2222
2018-04-12,-21.4286
2018-04-30,9.0909
2018-05-10,-15.0
2018-05-18,-21.5686
2018-05-22,0.0
2018-06-04,-3.75
2018-06-14,-9.0909
2018-06-29,-10.0
2018-07-20,-14.2857
2018-07-26,0.0
2018-08-01,0.0
2018-09-26,-7.4074
2018-09-28,16.0
2018-11-26,-24.1379
2018-11-30,31.8182
2018-12-12,-27.5862
2019-03-06,-28.5714
2019-04-01,20.0
2019-05-10,0.0
2019-05-29,-44.4444
2019-07-26,150.0
2019-10-17,-64.0
2019-11-18,88.8889
2019-12-26,17.647100000000002
2020-02-04,-55.0
2020-03-23,0.0
2020-05-07,22.2222
