ticker,AMPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-25,25.0
2014-06-26,14.4
2014-06-27,4.8951
2014-06-30,-4.6667
2014-07-01,-2.5974
2014-07-02,-6.2564
2014-07-03,-0.7659
2014-07-07,-3.5281000000000002
2014-07-08,2.8571
2014-07-09,0.5556
2014-07-10,-3.9779
2014-07-11,6.9045
2014-07-14,5.8126999999999995
2014-07-15,-3.4588
2014-07-16,1.686
2014-07-17,-0.7254
2014-07-18,-0.3132
2014-07-21,-2.0942
2014-07-22,1.6042999999999998
2014-07-23,-3.7895
2014-07-24,0.8753
2014-07-25,-2.6029999999999998
2014-07-28,-0.1114
2014-07-29,1.6722000000000001
2014-07-30,-0.8772
2014-07-31,-1.7699
2014-08-01,-0.4505
2014-08-04,-0.1131
2014-08-05,-0.906
2014-08-06,7.8857
2014-08-07,0.1059
2014-08-08,5.8201
2014-08-11,0.0
2014-08-12,2.0
2014-08-13,-0.4902
2014-08-14,-0.197
2014-08-15,0.1974
2014-08-18,-1.2808
2014-08-19,-0.0998
2014-08-20,0.6993
2014-08-21,-0.0992
2014-08-22,0.4965
2014-08-25,13.2411
2014-08-26,0.349
2014-08-27,-1.2174
2014-08-28,1.9365999999999999
2014-08-29,4.4041
2014-09-02,-0.7444
2014-09-03,-0.0833
2014-09-04,-1.0842
2014-09-05,0.5059
2014-09-08,-0.0839
2014-09-09,0.5038
2014-09-10,2.1721
2014-09-11,-0.7359
2014-09-12,-1.8946
2014-09-15,2.351
2014-09-16,-0.082
2014-09-17,-1.5598999999999998
2014-09-18,-0.2502
2014-09-19,-5.6856
2014-09-22,-2.9255
2014-09-23,4.9315
2014-09-24,4.4386
2014-09-25,0.0
2014-09-26,-1.4167
2014-09-29,1.0989
2014-09-30,-2.592
2014-10-01,-4.5494
2014-10-02,0.2698
2014-10-03,2.3318
2014-10-06,-0.5259
2014-10-07,-3.8767
2014-10-08,0.8249
2014-10-09,0.1818
2014-10-10,-0.726
2014-10-13,0.8227
2014-10-14,-0.3626
2014-10-15,-4.5496
2014-10-16,4.5758
2014-10-17,-5.2871
2014-10-20,-0.77
2014-10-21,-0.8729
2014-10-22,-0.4892
2014-10-23,-0.7866
2014-10-24,-0.1982
2014-10-27,0.6951
2014-10-28,0.6903
2014-10-29,-2.4486
2014-10-30,-0.2008
2014-10-31,2.0121
2014-11-03,-1.3807
2014-11-04,0.0
2014-11-05,-0.5
2014-11-06,2.2111
2014-11-07,-0.7866
2014-11-10,-0.5946
