ticker,CALX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-24,16.1538
2010-03-25,-5.6291
2010-03-26,-4.4211
2010-03-29,-2.7166
2010-03-30,3.3208
2010-03-31,-1.7530999999999999
2010-04-01,2.0074
2010-04-05,2.0408
2010-04-06,3.0
2010-04-07,-2.7046
2010-04-08,-2.5659
2010-04-09,0.7315
2010-04-12,-0.0726
2010-04-13,-2.0349
2010-04-14,1.3353
2010-04-15,3.6603
2010-04-16,1.5537
2010-04-19,-2.1558
2010-04-20,3.838
2010-04-21,-0.616
2010-04-22,-3.2369
2010-04-23,-0.6406
2010-04-26,-4.4413
2010-04-27,-8.6207
2010-04-28,-1.3126
2010-04-29,2.7431
2010-04-30,-2.9126
2010-05-03,0.3333
2010-05-04,2.0764
2010-05-05,-3.4988
2010-05-06,-2.1922
2010-05-07,-10.3448
2010-05-10,-1.5385
2010-05-11,-0.3906
2010-05-12,1.9607999999999999
2010-05-13,4.1346
2010-05-14,0.6464
2010-05-17,3.7615
2010-05-18,-1.4147
2010-05-19,-0.8072
2010-05-20,-3.7975
2010-05-21,1.9737
2010-05-24,1.5668
2010-05-25,-0.8167
2010-05-26,4.3001
2010-05-27,4.2982
2010-05-28,2.8595
2010-06-01,-4.4971
2010-06-02,3.0822
2010-06-03,1.8272
2010-06-04,-5.7096
2010-06-07,-5.4498
2010-06-08,0.2745
2010-06-09,1.6423
2010-06-10,2.9623
2010-06-11,-0.6103
2010-06-14,-0.1754
2010-06-15,1.0545
2010-06-16,-0.7826
2010-06-17,-1.1394
2010-06-18,-1.3298
2010-06-21,0.5391
2010-06-22,-2.4129
2010-06-23,1.3736
2010-06-24,3.0714
2010-06-25,-9.2901
2010-06-28,4.8309
2010-06-29,-4.3318
2010-06-30,-1.1561
2010-07-01,-0.3899
2010-07-02,0.8806
2010-07-06,5.4315999999999995
2010-07-07,4.6918
2010-07-08,5.7118
2010-07-09,2.9925
2010-07-12,0.0
2010-07-13,-5.2462
2010-07-14,-0.7666
2010-07-15,-1.2017
2010-07-16,-1.3901
2010-07-19,-4.2291
2010-07-20,-0.184
2010-07-21,-1.2903
2010-07-22,0.8403
2010-07-23,-3.2407
2010-07-26,-0.0957
2010-07-27,0.3831
2010-07-28,0.9542
2010-07-29,0.2836
2010-07-30,0.6598
2010-08-02,-0.4682
2010-08-03,-1.223
2010-08-04,2.3810000000000002
2010-08-05,-0.4651
2010-08-06,-1.6822
2010-08-09,-0.5703
2010-08-10,-2.1989
2010-08-11,-2.737
