ticker,XLRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-19,33.2667
2013-09-20,5.0025
2013-09-23,-4.5736
2013-09-24,8.3375
2013-09-25,4.0092
2013-09-26,-1.9052
2013-09-27,3.523
2013-09-30,-3.0105
2013-10-01,1.2146
2013-10-02,4.4
2013-10-03,9.7914
2013-10-04,0.3877
2013-10-07,0.0386
2013-10-08,-10.4247
2013-10-09,-13.8793
2013-10-10,3.2533
2013-10-11,7.2225
2013-10-14,-3.7975
2013-10-15,3.9943999999999997
2013-10-16,2.2142
2013-10-17,-2.5199
2013-10-18,3.4013999999999998
2013-10-21,-1.8860000000000001
2013-10-22,1.6987
2013-10-23,1.3626
2013-10-24,0.8239
2013-10-25,-1.7204000000000002
2013-10-28,3.9825
2013-10-29,-4.2929
2013-10-30,0.4837
2013-10-31,-1.3567
2013-11-01,-5.7675
2013-11-04,-4.5198
2013-11-05,5.8185
2013-11-06,-8.993500000000001
2013-11-07,-10.9063
2013-11-08,6.3218
2013-11-11,2.8649
2013-11-12,-0.1051
2013-11-13,2.3567
2013-11-14,-0.8634
2013-11-15,2.1773
2013-11-18,-1.2177
2013-11-19,1.5408
2013-11-20,-0.0506
2013-11-21,3.8462
2013-11-22,2.6803
2013-11-25,0.8068
2013-11-26,0.9887
2013-11-27,1.0723
2013-11-29,0.4151
2013-12-02,1.4699
2013-12-03,5.3871
2013-12-04,3.4364
2013-12-05,0.1246
2013-12-06,7.7976
2013-12-09,4.8095
2013-12-10,9.8385
2013-12-11,-6.1832
2013-12-12,4.0969
2013-12-13,-0.1027
2013-12-16,-1.6101
2013-12-17,-3.8301
2013-12-18,-1.4844
2013-12-19,5.6229
2013-12-20,4.3841
2013-12-23,9.9
2013-12-24,-0.6673
2013-12-26,7.2977
2013-12-27,0.313
2013-12-30,0.0284
2013-12-31,12.3086
2014-01-02,-3.7626
2014-01-03,2.3616
2014-01-06,4.9474
2014-01-07,1.7831000000000001
2014-01-08,-0.9839
2014-01-09,18.7349
2014-01-10,-3.7559
2014-01-13,-1.7814999999999999
2014-01-14,4.7722
2014-01-15,0.4328
2014-01-16,-2.6883
2014-01-17,3.6272
2014-01-21,5.1282
2014-01-22,9.7561
2014-01-23,-10.0353
2014-01-24,-3.8816
2014-01-27,-6.0167
2014-01-28,2.8429
2014-01-29,4.7478
2014-01-30,0.0201
2014-01-31,-6.6465
2014-02-03,-3.7109
2014-02-04,-0.3361
2014-02-05,0.1349
2014-02-06,-0.0898
2014-02-07,-2.3146
