ticker,FFHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-19,33.8164
2006-12-20,-7.7347
2006-12-21,0.2641
2006-12-22,22.0488
2006-12-26,7.9137
2006-12-27,-3.7037
2006-12-28,34.6154
2006-12-29,-9.7143
2007-01-03,-5.7089
2007-01-04,1.0203
2007-01-05,-4.3189
2007-01-08,-4.1667
2007-01-09,3.6231999999999998
2007-01-10,-8.3916
2007-01-11,-1.2977
2007-01-12,10.2088
2007-01-16,-1.8246
2007-01-17,-0.7863
2007-01-18,-4.8271
2007-01-19,2.7252
2007-01-22,-2.2845
2007-01-23,2.2624
2007-01-24,-0.2212
2007-01-25,-2.5868
2007-01-26,2.2752
2007-01-29,-2.6696999999999997
2007-01-30,0.0762
2007-01-31,-10.9673
2007-02-01,-2.3952
2007-02-02,0.7888
2007-02-05,-2.1739
2007-02-06,-0.7111
2007-02-07,6.4458
2007-02-08,-3.5608
2007-02-09,-3.9811
2007-02-12,-5.269
2007-02-13,0.8629
2007-02-14,7.4144
2007-02-15,2.2124
2007-02-16,0.2608
2007-02-20,-1.21
2007-02-21,-2.4476
2007-02-22,0.448
2007-02-23,-2.8557
2007-02-26,-2.8444000000000003
2007-02-27,-11.5322
2007-02-28,-0.2137
2007-03-01,-1.8201
2007-03-02,-1.31
2007-03-05,-5.5222
2007-03-06,4.209
2007-03-07,3.0303
2007-03-08,-1.1983
2007-03-09,-0.7718
2007-03-12,-0.6681
2007-03-13,-4.5847999999999995
2007-03-14,0.4689
2007-03-15,0.0511
2007-03-16,-4.2496
2007-03-19,0.2421
2007-03-20,3.2822
2007-03-21,9.6471
2007-03-22,9.3348
2007-03-23,-1.472
2007-03-26,-2.5896
2007-03-27,-2.454
2007-03-28,9.6436
2007-03-29,0.6692
2007-03-30,-3.2289
2007-04-02,-1.1776
2007-04-03,-0.4965
2007-04-04,-2.2954
2007-04-05,22.5741
2007-04-09,-5.4167
2007-04-10,-1.8513
2007-04-11,2.3351
2007-04-12,-1.3158
2007-04-13,3.1111
2007-04-16,-1.2069
2007-04-17,-1.9197
2007-04-18,-1.4235
2007-04-19,-4.9639
2007-04-20,-0.9497
2007-04-23,-2.9722
2007-04-24,2.7656
2007-04-25,-2.3077
2007-04-26,-1.5735999999999999
2007-04-27,6.3
2007-04-30,-6.2088
2007-05-01,-4.1123
2007-05-02,2.8243
2007-05-03,-1.119
2007-05-04,-1.4403000000000001
2007-05-07,-2.4021
2007-05-08,0.0013
2007-05-09,2.9947
2007-05-10,-5.3998
