ticker,TCON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-30,-6.0
2015-02-02,1.0638
2015-02-03,0.0
2015-02-04,-1.2631999999999999
2015-02-05,-0.533
2015-02-06,-0.4287
2015-02-09,-2.0452
2015-02-10,-0.2198
2015-02-11,4.5154
2015-02-12,0.1054
2015-02-13,-1.6842000000000001
2015-02-17,-0.8552
2015-02-18,10.1497
2015-02-19,-2.2549
2015-02-20,1.7050999999999998
2015-02-23,0.0986
2015-02-24,23.3498
2015-02-25,7.0288
2015-02-26,7.9851
2015-02-27,-7.1873
2015-03-02,29.709600000000002
2015-03-03,5.8553
2015-03-04,-11.1714
2015-03-05,5.0672
2015-03-06,2.0918
2015-03-09,-1.0814
2015-03-10,-6.8469999999999995
2015-03-11,0.9265
2015-03-12,-12.7907
2015-03-13,-3.5088
2015-03-16,9.1636
2015-03-17,9.6602
2015-03-18,0.6075
2015-03-19,-5.7971
2015-03-20,-8.9744
2015-03-23,10.7042
2015-03-24,-2.5445
2015-03-25,-4.5692
2015-03-26,-1.9152
2015-03-27,-0.2789
2015-03-30,0.0699
2015-03-31,-1.8868
2015-04-01,2.6353
2015-04-02,-3.5392
2015-04-06,0.4317
2015-04-07,-2.5788
2015-04-08,-0.7353
2015-04-09,-5.4815
2015-04-10,-2.8213
2015-04-13,-1.2903
2015-04-14,5.3105
2015-04-15,-1.3189
2015-04-16,-2.2013
2015-04-17,0.0804
2015-04-20,2.3293
2015-04-21,-2.7473
2015-04-22,0.7264
2015-04-23,-2.6442
2015-04-24,-3.3745
2015-04-27,2.0443
2015-04-28,-4.7579
2015-04-29,0.7888
2015-04-30,-5.1304
2015-05-01,1.7415
2015-05-04,0.7207
2015-05-05,-0.3578
2015-05-06,-7.0904
2015-05-07,-1.5471
2015-05-08,0.5888
2015-05-11,3.6098
2015-05-12,6.6855
2015-05-13,-0.9709
2015-05-14,-3.2086
2015-05-15,12.9834
2015-05-18,1.0594999999999999
2015-05-19,-3.5484
2015-05-20,-8.194
2015-05-21,-1.0929
2015-05-22,0.0921
2015-05-26,1.4719
2015-05-27,-0.9973
2015-05-28,2.4725
2015-05-29,1.5192
2015-06-01,-1.7606000000000002
2015-06-02,-1.6129
2015-06-03,-0.2732
2015-06-04,-2.5571
2015-06-05,0.9372
2015-06-08,-1.1142
2015-06-09,-2.8169
2015-06-10,0.9662
2015-06-11,-1.9139
2015-06-12,1.6585
2015-06-15,-0.9597
2015-06-16,10.1744
2015-06-17,-0.088
2015-06-18,0.1761
