ticker,CDK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-23,1.129
2014-09-24,5.1994
2014-09-25,-3.7295
2014-09-26,-1.9843
2014-09-29,-1.1889
2014-09-30,-0.5203
2014-10-01,1.3403
2014-10-02,-2.2580999999999998
2014-10-03,-2.4422
2014-10-06,-0.4736
2014-10-07,-6.5262
2014-10-08,1.1636
2014-10-09,-4.6370000000000005
2014-10-10,-1.9977
2014-10-13,0.6731
2014-10-14,-0.745
2014-10-15,-1.8091
2014-10-16,-1.1368
2014-10-17,5.7494
2014-10-20,1.9872999999999998
2014-10-21,3.0515
2014-10-22,0.3211
2014-10-23,3.4495
2014-10-24,0.9625
2014-10-27,1.43
2014-10-28,10.842600000000001
2014-10-29,-1.9988000000000001
2014-10-30,0.8962
2014-10-31,2.9096
2014-11-03,0.0298
2014-11-04,0.0298
2014-11-05,2.9744
2014-11-06,4.275
2014-11-07,1.3573
2014-11-10,0.6013
2014-11-11,5.379
2014-11-12,3.1709
2014-11-13,4.7726
2014-11-14,-5.3899
2014-11-17,1.4369
2014-11-18,-2.833
2014-11-19,-1.7903
2014-11-20,-0.6771
2014-11-21,0.8128
2014-11-24,0.052
2014-11-25,-0.5979
2014-11-26,-0.3923
2014-11-28,0.2634
2014-12-01,3.5986000000000002
2014-12-02,2.6116
2014-12-03,0.2224
2014-12-04,0.8136
2014-12-05,-2.0298
2014-12-08,0.699
2014-12-09,1.0907
2014-12-10,-2.1579
2014-12-11,0.6767
2014-12-12,-0.3983
2014-12-15,-1.4746000000000001
2014-12-16,-1.6489
2014-12-17,4.0753
2014-12-18,0.8922
2014-12-19,-1.0317
2014-12-22,-1.2162
2014-12-23,2.0101
2014-12-24,1.601
2014-12-26,0.097
2014-12-29,-0.7508
2014-12-30,-1.3909
2014-12-31,0.8661
2015-01-02,-0.7115
2015-01-05,-1.6061
2015-01-06,-0.2762
2015-01-07,0.2518
2015-01-08,2.6375
2015-01-09,1.0524
2015-01-12,0.6297
2015-01-13,1.7569
2015-01-14,-0.8042
2015-01-15,-0.5484
2015-01-16,0.9111
2015-01-20,3.445
2015-01-21,0.0689
2015-01-22,3.1673
2015-01-23,0.0667
2015-01-26,3.4237
2015-01-27,-0.6879
2015-01-28,-2.013
2015-01-29,0.8394
2015-01-30,-1.0734
2015-02-02,0.62
2015-02-03,-0.6602
2015-02-04,-0.3323
2015-02-05,5.2678
2015-02-06,0.6968
2015-02-09,-0.8597
2015-02-10,-0.4653
2015-02-11,-1.8487
