ticker,WPHM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-28,8.0
2006-03-01,0.0
2006-03-06,0.0
2006-03-07,0.0
2006-03-22,-11.1111
2006-03-28,4.1667
2006-04-10,0.0
2006-04-12,-28.0
2006-04-19,33.3333
2006-05-01,4.1667
2006-05-09,0.0
2006-05-31,0.0
2006-06-07,-16.0
2006-06-15,-4.7619
2006-06-16,-5.0
2006-06-19,-42.1053
2006-06-20,-22.7273
2006-06-21,-5.8824
2006-06-22,0.0
2006-06-23,-37.5
2006-06-26,-10.0
2006-06-27,11.1111
2006-06-28,-40.0
2006-06-30,133.3333
2006-07-03,0.0
2006-07-05,0.0
2006-07-06,0.0
2006-07-07,-12.857099999999999
2006-07-10,-18.0328
2006-07-11,0.0
2006-07-13,0.0
2006-07-14,-6.0
2006-07-20,6.383
2006-07-24,0.0
2006-07-26,-20.0
2006-07-27,0.0
2006-07-28,25.0
2006-08-01,-20.0
2006-08-03,0.0
2006-08-07,-25.0
2006-08-10,0.0
2006-08-16,33.3333
2006-08-21,-25.0
2006-08-22,-33.3333
2006-08-23,0.0
2006-08-25,-25.0
2006-09-05,-20.0
2006-09-07,0.0
2006-09-18,0.0
2006-09-20,0.0
2006-09-28,8.3333
2006-10-10,53.8462
2006-10-16,-50.0
2006-10-17,0.0
2006-10-31,0.0
2006-11-21,250.0
2006-11-30,-42.8571
2006-12-06,316.6667
2006-12-07,4.0
2006-12-08,-22.3077
2006-12-11,18.8119
2006-12-12,-4.1667
2006-12-13,-12.1739
2006-12-14,-2.9703
2006-12-20,0.0
2006-12-21,17.3469
2006-12-22,-13.0435
2006-12-28,0.0
2006-12-29,-49.0
2007-01-03,47.0588
2007-01-08,8.0
2007-01-09,11.1111
2007-01-10,-22.2222
2007-01-11,-14.2857
2007-01-22,8.3333
2007-01-23,0.0
2007-01-25,20.0
2007-01-26,-16.6667
2007-01-29,10.7692
2007-01-30,-9.7222
2007-01-31,-1.5385
2007-02-05,0.0
2007-02-07,-6.25
2007-02-09,16.6667
2007-02-12,0.0
2007-02-13,-14.2857
2007-02-14,16.6667
2007-02-15,14.2857
2007-02-20,0.0
2007-02-21,-2.5
2007-02-23,41.0256
2007-02-26,-3.6364
2007-02-27,-5.6604
2007-02-28,5.0
2007-03-05,-19.0476
2007-03-06,0.0
2007-03-07,5.8824
2007-03-08,5.5556
2007-03-09,-6.3158
2007-03-12,-10.1124
2007-03-13,12.5
2007-03-16,0.0
2007-03-19,-3.3333
2007-03-21,-8.046
