ticker,COLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-07,2.4167
2015-05-08,5.3702
2015-05-11,-1.9304999999999999
2015-05-12,2.2835
2015-05-13,2.0015
2015-05-14,12.4528
2015-05-15,4.8322
2015-05-18,-0.128
2015-05-19,2.4359
2015-05-20,4.3805
2015-05-21,-0.1799
2015-05-22,7.027
2015-05-26,-2.413
2015-05-27,-2.7602
2015-05-28,-1.2419
2015-05-29,1.7964
2015-06-01,-1.1764999999999999
2015-06-02,4.4048
2015-06-03,4.504
2015-06-04,3.6007
2015-06-05,0.4739
2015-06-08,-1.3627
2015-06-09,2.0723
2015-06-10,1.4576
2015-06-11,0.0513
2015-06-12,-1.5897000000000001
2015-06-15,1.0422
2015-06-16,-2.6818
2015-06-17,2.8617
2015-06-18,-0.2061
2015-06-19,-2.9943
2015-06-22,1.8627
2015-06-23,-6.9488
2015-06-24,5.5587
2015-06-25,2.0213
2015-06-26,-3.3889
2015-06-29,-4.9649
2015-06-30,1.3061
2015-07-01,-5.213
2015-07-02,0.414
2015-07-06,-2.0024
2015-07-07,6.7909
2015-07-08,1.9696
2015-07-09,-5.1325
2015-07-10,8.6097
2015-07-13,1.1784
2015-07-14,3.0704
2015-07-15,-0.8731
2015-07-16,1.0363
2015-07-17,-0.7179
2015-07-20,-0.0517
2015-07-21,-3.2041
2015-07-22,2.5093
2015-07-23,-0.1562
2015-07-24,-1.8258
2015-07-27,1.966
2015-07-28,-0.3648
2015-07-29,-0.6276
2015-07-30,1.7894999999999999
2015-07-31,3.5677
2015-08-03,-3.3949
2015-08-04,-0.8786
2015-08-05,2.0855
2015-08-06,-3.1154
2015-08-07,-10.3321
2015-08-10,6.5256
2015-08-11,-4.9669
2015-08-12,1.6841
2015-08-13,-3.7693
2015-08-14,-0.5341
2015-08-17,-1.611
2015-08-18,-4.9727
2015-08-19,-4.4671
2015-08-20,2.1376
2015-08-21,-0.2616
2015-08-24,-4.8525
2015-08-25,0.0
2015-08-26,3.9972
2015-08-27,1.1928
2015-08-28,0.4584
2015-08-31,-1.4342
2015-09-01,-13.955
2015-09-02,16.372
2015-09-03,2.7081
2015-09-04,3.6013
2015-09-08,-8.0074
2015-09-09,-8.7045
2015-09-10,-0.5913
2015-09-14,39.4796
2015-09-15,1.4392
2015-09-16,16.2375
2015-09-17,7.3689
2015-09-18,0.9684
2015-09-21,-4.0033
2015-09-22,-6.9939
2015-09-23,1.0743
2015-09-24,0.2311
2015-09-25,-1.8902999999999999
