ticker,TSPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-16,0.0
2007-05-29,0.0
2007-06-07,4.0
2007-06-08,7.6923
2007-06-11,10.7143
2007-06-12,6.4516
2007-06-13,6.0606
2007-06-14,2.8571
2007-06-15,2.7778
2007-06-18,8.1081
2007-06-19,-5.0
2007-06-20,7.8947
2007-06-21,-2.439
2007-06-22,5.0
2007-06-25,-2.3810000000000002
2007-06-26,2.439
2007-06-27,-16.6667
2007-06-28,0.0
2007-06-29,5.7143
2007-07-02,5.4054
2007-07-03,-23.0769
2007-07-05,0.0
2007-07-06,-33.3333
2007-07-09,7.5
2007-07-10,-2.3256
2007-07-11,-4.7619
2007-07-12,-10.0
2007-07-13,16.6667
2007-07-16,-38.0952
2007-07-17,-15.3846
2007-07-18,-9.0909
2007-07-20,0.0
2007-07-23,40.0
2007-07-24,-50.0
2007-07-25,14.2857
2007-07-26,25.0
2007-07-30,-30.0
2007-07-31,-14.2857
2007-08-02,0.0
2007-08-07,-16.6667
2007-08-13,0.0
2007-08-28,0.0
2007-08-29,60.0
2007-08-30,-43.75
2007-09-04,-11.1111
2007-09-05,50.0
2007-09-06,0.0
2007-09-07,0.0
2007-09-10,-33.3333
2007-09-11,-32.5
2007-09-17,11.1111
2007-09-18,26.6667
2007-09-19,18.4211
2007-09-20,33.3333
2007-09-21,-8.3333
2007-09-24,-36.3636
2007-09-25,0.0
2007-09-26,14.2857
2007-09-27,-20.0
2007-09-28,-6.25
2007-10-01,0.0
2007-10-02,-20.0
2007-10-03,25.0
2007-10-04,0.0
2007-10-05,-13.3333
2007-10-08,15.3846
2007-10-09,-16.6667
2007-10-10,20.0
2007-10-12,6.6667
2007-10-15,-6.25
2007-10-16,-20.0
2007-10-17,25.0
2007-10-18,-16.6667
2007-10-22,-40.0
2007-10-23,33.3333
2007-10-24,-25.0
2007-10-25,33.3333
2007-10-26,0.0
2007-10-29,-25.0
2007-10-30,33.3333
2007-10-31,0.0
2007-11-01,0.0
2007-11-02,0.0
2007-11-05,-25.0
2007-11-06,0.0
2007-11-07,-13.3333
2007-11-08,30.7692
2007-11-09,-23.5294
2007-11-16,-23.0769
2007-11-19,30.0
2007-11-20,30.7692
2007-11-21,-11.7647
2007-11-26,-33.3333
2007-11-27,0.0
2007-11-28,-40.0
2007-11-29,66.6667
2007-12-03,0.0
2007-12-04,-40.0
2007-12-05,-16.6667
2007-12-06,20.0
2007-12-07,0.0
2007-12-10,-16.6667
2007-12-11,-20.0
