ticker,DTSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-22,0.0
2004-10-28,1920.0
2004-10-29,0.0
2004-11-08,0.0
2004-11-15,0.0
2004-11-16,0.0
2004-11-17,5.9406
2004-11-18,-5.6075
2004-11-19,0.0
2004-11-22,-40.5941
2004-11-23,-8.3333
2004-11-26,18.1818
2004-11-29,-12.3077
2004-11-30,14.0351
2004-12-02,-12.3077
2004-12-13,-7.0175
2004-12-14,-3.7736
2004-12-30,-11.7647
2004-12-31,-17.7778
2005-01-12,-37.8378
2005-01-14,-21.7391
2005-02-11,-27.7778
2005-02-17,-7.6923
2005-02-28,66.6667
2005-03-08,5.0
2005-03-09,-4.7619
2005-03-11,30.0
2005-03-16,34.6154
2005-03-21,-57.1429
2005-04-14,166.6667
2005-04-21,-73.75
2005-04-28,33.3333
2005-05-04,-42.8571
2005-05-25,0.0
2005-06-14,0.0
2005-06-16,-15.0
2005-06-20,-25.0
2005-06-23,-41.1765
2005-06-24,-66.6667
2005-06-27,50.0
2005-06-29,-33.3333
2005-06-30,0.0
2005-07-20,-30.0
2005-08-05,-14.2857
2005-09-20,0.0
2005-10-24,0.0
2005-11-28,50.0
2005-11-29,0.0
2005-12-01,0.0
2005-12-12,-11.1111
2006-04-11,0.0
2006-04-12,-12.5
2006-04-18,-14.2857
2006-04-19,0.0
2006-05-02,33.3333
2006-05-03,0.0
2006-05-04,-25.0
2006-05-10,33.3333
2006-05-15,-37.5
2006-05-17,0.0
2006-05-31,-20.0
2006-06-01,0.0
2006-06-06,-25.0
2006-06-08,33.3333
2006-06-09,0.0
2006-06-12,150.0
2006-06-13,5.0
2006-06-14,-23.8095
2006-06-15,-37.5
2006-06-16,20.0
2006-06-19,0.0
2006-06-20,0.0
2006-06-21,-16.6667
2006-06-22,0.0
2006-06-26,100.0
2006-07-05,-30.0
2006-07-12,-28.5714
2006-07-14,0.0
2006-07-20,0.0
2006-08-10,20.0
2006-08-16,0.0
2006-08-17,66.6667
2006-08-18,0.0
2006-08-23,-20.0
2006-09-01,25.0
2006-09-06,50.0
2006-09-08,-33.3333
2006-09-20,-30.0
2006-09-21,-28.5714
2006-09-27,0.0
2006-10-05,60.0
2006-10-06,-37.5
2006-10-10,-20.0
2006-10-12,25.0
2006-10-13,0.0
2006-10-16,40.0
2006-10-17,0.0
2006-10-18,42.8571
2006-10-24,-60.0
2006-10-25,100.0
2006-11-01,0.0
2006-11-02,25.0
2006-11-06,0.0
2006-11-07,0.0
2006-11-08,50.0
