ticker,COE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-10,-0.1053
2016-06-13,12.0126
2016-06-14,2.3048
2016-06-15,-0.9195
2016-06-16,-7.1926
2016-06-17,1.3
2016-06-20,1.1846
2016-06-21,13.6585
2016-06-22,-0.7725
2016-06-23,-1.2111
2016-06-24,-8.4063
2016-06-27,-6.8834
2016-06-28,3.1828
2016-06-29,-0.995
2016-06-30,-0.3518
2016-07-01,2.5719
2016-07-05,-1.8191000000000002
2016-07-06,-1.1017
2016-07-07,-0.3544
2016-07-08,-0.1016
2016-07-11,1.9583
2016-07-12,1.8209
2016-07-13,-2.6948
2016-07-14,-0.1007
2016-07-15,0.8065
2016-07-18,-1.1525
2016-07-19,-2.0208
2016-07-20,1.8063
2016-07-21,1.3698000000000001
2016-07-22,0.05
2016-07-25,-0.05
2016-07-26,0.0
2016-07-27,1.0505
2016-07-28,2.9208
2016-07-29,-3.367
2016-08-01,0.448
2016-08-02,-1.9325999999999999
2016-08-03,5.3562
2016-08-04,5.3717
2016-08-05,9.0123
2016-08-08,-2.0459
2016-08-09,-0.682
2016-08-10,-0.9442
2016-08-11,-0.8232
2016-08-12,-1.0485
2016-08-15,-4.6358
2016-08-16,0.787
2016-08-17,1.0106
2016-08-18,-2.5465999999999998
2016-08-19,1.6332
2016-08-22,0.9642
2016-08-23,-0.864
2016-08-24,-3.3028
2016-08-25,1.5655000000000001
2016-08-26,-6.2121
2016-08-29,-0.0996
2016-08-30,4.0379
2016-08-31,-2.5874
2016-09-01,-1.033
2016-09-02,1.9881
2016-09-06,4.191
2016-09-07,2.666
2016-09-08,-0.2284
2016-09-09,-1.415
2016-09-12,-0.6308
2016-09-13,2.4993
2016-09-14,-0.6821
2016-09-15,0.6868
2016-09-16,1.5916000000000001
2016-09-19,-0.6267
2016-09-20,-0.9009
2016-09-21,-1.8636
2016-09-22,1.7601
2016-09-23,-2.1393
2016-09-26,0.0
2016-09-27,-2.0465
2016-09-28,-0.6173
2016-09-29,0.2867
2016-09-30,-0.4288
2016-10-03,0.0
2016-10-04,3.7799
2016-10-05,-1.9825
2016-10-06,-2.6334999999999997
2016-10-07,-3.1648
2016-10-10,0.5238
2016-10-11,-2.9777
2016-10-12,0.9719
2016-10-13,0.8105
2016-10-14,-0.7041
2016-10-17,-1.467
2016-10-18,-0.9245
2016-10-19,-0.6221
2016-10-20,-2.9734
2016-10-21,1.6667
2016-10-24,0.4759
2016-10-25,-3.8421
2016-10-26,-1.4778
2016-10-27,0.0
