ticker,MYOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-27,-11.6
2016-10-28,-1.9607999999999999
2016-10-31,-6.8462
2016-11-01,-3.7159
2016-11-02,-5.3173
2016-11-03,4.1667
2016-11-04,6.9565
2016-11-07,-2.3577
2016-11-08,-8.9092
2016-11-09,-4.479
2016-11-10,15.8852
2016-11-11,-4.7894
2016-11-14,-4.2498
2016-11-15,2.3551
2016-11-16,5.5752
2016-11-17,-7.7955
2016-11-18,2.2727
2016-11-21,-0.3556
2016-11-22,-1.6057000000000001
2016-11-23,7.9782
2016-11-25,19.6474
2016-11-28,-9.473700000000001
2016-11-29,-0.3101
2016-11-30,-2.0218
2016-12-01,-5.4762
2016-12-02,-4.7019
2016-12-05,-3.5242
2016-12-06,-2.2831
2016-12-07,-1.028
2016-12-08,1.0387
2016-12-09,5.514
2016-12-12,-2.5686
2016-12-13,7.1818
2016-12-14,-6.0221
2016-12-15,-2.5271
2016-12-16,6.5741
2016-12-19,-2.7802
2016-12-20,-1.4298
2016-12-21,-0.1813
2016-12-22,-0.4541
2016-12-23,4.0146
2016-12-27,-4.1228
2016-12-28,0.5489
2016-12-29,14.7407
2016-12-30,-1.3481
2017-01-03,-4.8232
2017-01-04,2.9561
2017-01-05,-1.5587
2017-01-06,1.0
2017-01-09,-2.2277
2017-01-10,-2.0253
2017-01-11,4.3065999999999995
2017-01-12,-1.8167
2017-01-13,0.0
2017-01-17,-0.7569
2017-01-18,-0.4237
2017-01-19,-3.3191
2017-01-20,-0.7923
2017-01-23,-0.976
2017-01-24,-0.5376
2017-01-25,-2.2523
2017-01-26,0.9217
2017-01-27,0.0
2017-01-30,-1.0959
2017-01-31,2.8624
2017-02-01,-2.1544
2017-02-02,1.0092
2017-02-03,-0.545
2017-02-06,-2.5571
2017-02-07,-1.8744
2017-02-08,0.2865
2017-02-09,-0.7619
2017-02-10,4.2226
2017-02-13,-0.2762
2017-02-14,0.0923
2017-02-15,3.2288
2017-02-16,-0.8937
2017-02-17,0.9919
2017-02-21,0.0893
2017-02-22,-3.2114
2017-02-23,-0.0922
2017-02-24,2.4908
2017-02-27,1.0801
2017-02-28,-2.9386
2017-03-01,7.8899
2017-03-02,1.7006999999999999
2017-03-03,-1.7559
2017-03-06,-1.1064
2017-03-07,1.8933
2017-03-08,1.6892
2017-03-09,0.1661
2017-03-10,4.8922
2017-03-13,-1.9763
2017-03-14,-2.0161
2017-03-15,1.7284000000000002
2017-03-16,-0.5663
2017-03-17,-0.4882
