ticker,QPSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-22,47.0588
2011-09-20,-6.6667
2012-01-06,-84.2857
2012-01-09,554.5455
2012-02-29,-84.7222
2012-03-01,172.7273
2012-03-02,-63.3333
2012-03-06,363.6364
2012-03-08,0.0
2012-03-12,-1.9607999999999999
2012-06-29,-78.0
2012-07-09,363.6364
2012-09-07,-44.902
2012-10-26,42.3488
2012-11-21,37.5
2013-02-13,-90.9091
2013-02-20,1000.0
2015-03-02,-90.9091
2015-10-29,-90.0
2016-07-18,970.0
2016-09-14,-71.9626
2018-01-09,100.0
2019-12-19,-50.0
2020-02-10,566.6667
2020-02-11,199.9
2020-02-13,-37.4115
2020-02-20,-17.3695
2020-02-24,3.1593
2020-03-05,-3.0625
