ticker,HLIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.6004
2000-01-04,-8.5502
2000-01-05,-3.3259
2000-01-06,-7.4924
2000-01-07,9.7521
2000-01-10,11.747
2000-01-11,-9.2992
2000-01-12,-2.8232
2000-01-13,11.4679
2000-01-14,-2.0576
2000-01-18,8.6835
2000-01-19,4.2526
2000-01-20,8.8999
2000-01-21,3.4052
2000-01-24,-1.5368
2000-01-25,2.5641
2000-01-26,-2.8804
2000-01-27,-3.1897
2000-01-28,-10.6936
2000-01-31,-0.2589
2000-02-01,2.7255000000000003
2000-02-02,4.801
2000-02-03,4.4002
2000-02-04,1.963
2000-02-07,1.3024
2000-02-08,5.6456
2000-02-09,7.1958
2000-02-10,5.0346
2000-02-11,-7.5188
2000-02-14,-0.1143
2000-02-15,4.8963
2000-02-16,-2.3278
2000-02-17,0.0497
2000-02-18,-4.1191
2000-02-22,1.6046
2000-02-23,3.0056
2000-02-24,2.1761
2000-02-25,1.8393000000000002
2000-02-28,-3.4221
2000-02-29,7.8248
2000-03-01,2.8754
2000-03-02,1.0204
2000-03-03,5.0505
2000-03-06,1.9231
2000-03-07,-5.2912
2000-03-08,-4.3309
2000-03-09,1.5844
2000-03-10,1.2923
2000-03-13,-6.1593
2000-03-14,-8.4388
2000-03-15,-2.509
2000-03-16,-2.8361
2000-03-17,1.0811
2000-03-20,-11.9786
2000-03-21,0.0608
2000-03-22,7.286
2000-03-23,-0.3962
2000-03-24,-5.7386
2000-03-27,-9.1019
2000-03-28,-2.4536
2000-03-29,-7.6139
2000-03-30,-5.2244
2000-03-31,3.4161
2000-04-03,-13.1381
2000-04-04,-1.2965
2000-04-05,6.5674
2000-04-06,14.544
2000-04-07,1.0043
2000-04-10,-12.358
2000-04-11,-0.3039
2000-04-12,-13.0664
2000-04-13,-9.5839
2000-04-14,-8.3764
2000-04-17,2.4831
2000-04-18,28.6344
2000-04-19,4.024
2000-04-20,-3.1276
2000-04-24,-7.158
2000-04-25,10.1807
2000-04-26,-5.4817
2000-04-27,12.3023
2000-04-28,-7.59
2000-05-01,13.8019
2000-05-02,-8.2589
2000-05-03,-6.2449
2000-05-04,-0.692
2000-05-05,3.1359
2000-05-08,-6.7568
2000-05-09,-6.7029
2000-05-10,-5.534
2000-05-11,4.0082
2000-05-12,0.9881
2000-05-15,2.9354
2000-05-16,-16.5399
2000-05-17,-4.328
2000-05-18,-6.4286
2000-05-19,-6.1068999999999996
2000-05-22,-4.7425
