ticker,HLXW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-16,0.0
2007-01-31,22.8
2007-02-05,2.3731999999999998
2007-02-12,2.2727
2007-02-14,0.0
2007-03-19,5.5556
2007-03-20,-0.4211
2007-03-26,-5.4968
2007-05-04,-10.5145
2007-05-07,9.3
2007-05-14,1.3266
2007-05-15,8.3521
2007-05-17,-9.375
2007-05-18,1.1494
2007-05-21,-1.1364
2007-05-23,5.7471
2007-05-29,-4.3478
2007-05-30,-2.2727
2007-06-01,0.0
2007-06-06,-1.1628
2007-06-08,-5.1765
2007-06-11,-37.9653
2007-06-12,-20.0
2007-06-14,-25.0
2007-06-15,-46.6667
2007-06-18,-63.75
2007-06-19,31.0345
2007-06-20,71.0526
2007-06-21,10.7692
2007-06-22,-9.7222
2007-06-25,-33.8462
2007-06-27,-6.9767
2007-06-28,125.0
2007-06-29,0.0
2007-07-05,-44.4444
2007-07-09,10.0
2007-07-11,-5.4545
2007-07-13,-17.3077
2007-07-16,0.0
2007-07-24,74.4186
2007-07-25,-21.3333
2007-07-26,1.6949
2007-07-27,0.0
2007-07-31,-43.3333
2007-08-01,2.9412000000000003
2007-08-06,-14.2857
2007-08-14,-33.3333
2007-08-20,0.0
2007-08-31,0.0
2007-09-17,27.5
2007-09-27,49.0196
2007-10-04,110.5263
2007-10-05,-27.5
2007-10-09,-13.7931
2007-11-09,-40.0
2007-12-07,40.0
2007-12-20,-19.0476
2008-01-07,50.0
2008-01-18,-11.7647
2008-01-24,-55.5556
2008-02-05,0.0
2008-02-06,0.0
2008-02-19,-50.0
2008-02-21,0.0
2008-02-25,30.0
2008-04-18,76.9231
2008-04-21,0.0
2008-04-23,-69.5652
2008-04-28,228.5714
2008-04-29,0.0
2008-04-30,0.0
2008-05-28,8.6957
2008-07-11,-72.0
2008-08-12,-14.2857
2008-09-30,-16.6667
2008-10-27,20.0
2008-10-30,-33.3333
2008-11-03,25.0
2008-11-13,-80.0
2008-11-28,-85.0
2008-12-01,0.0
2009-01-09,0.0
2009-02-02,25.0
2009-02-03,1.3333
2009-02-09,0.0
2009-02-13,0.0
2009-02-26,5.2632
2009-03-03,0.0
2009-03-05,0.0
2009-03-06,-1.5
2009-03-12,-1.0152
2009-03-13,7.6923
2009-03-16,-1.4285999999999999
2009-03-26,1.4493
2009-03-27,0.0
2009-03-31,0.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-06,0.0
2009-04-07,-23.8095
2009-04-09,31.25
2009-04-13,0.0
