ticker,NBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.0505
2000-01-04,-1.9149
2000-01-05,2.82
2000-01-06,4.8523
2000-01-07,1.2072
2000-01-10,1.7893
2000-01-11,0.0
2000-01-12,-0.5859
2000-01-13,1.9646
2000-01-14,1.3487
2000-01-18,7.2243
2000-01-19,-2.1277
2000-01-20,-2.5362
2000-01-21,3.9032999999999998
2000-01-24,-4.4723
2000-01-25,-2.9962999999999997
2000-01-26,-1.3514
2000-01-27,-5.2838
2000-01-28,-1.4463
2000-01-31,-0.6289
2000-02-01,4.6414
2000-02-02,0.0
2000-02-03,-1.0081
2000-02-04,1.0183
2000-02-07,3.629
2000-02-08,-3.1128
2000-02-09,-4.2169
2000-02-10,6.9182
2000-02-11,3.1373
2000-02-14,2.2814
2000-02-15,4.8327
2000-02-16,0.5319
2000-02-17,-2.4691
2000-02-18,-2.8933
2000-02-22,-5.959
2000-02-23,1.3860999999999999
2000-02-24,5.0781
2000-02-25,-1.8587
2000-02-28,4.1667
2000-02-29,4.3636
2000-03-01,5.2265
2000-03-02,3.8079
2000-03-03,-4.4657
2000-03-06,2.5042
2000-03-07,4.2345
2000-03-08,-8.2813
2000-03-09,-2.5554
2000-03-10,2.0979
2000-03-13,-2.0548
2000-03-14,0.3497
2000-03-15,-0.6969
2000-03-16,7.5439
2000-03-17,-0.8157
2000-03-20,-3.2895
2000-03-21,6.1224
2000-03-22,1.4423
2000-03-23,0.316
2000-03-24,-5.1969
2000-03-27,-3.6545
2000-03-28,0.6897
2000-03-29,4.4521
2000-03-30,0.9836
2000-03-31,0.8117
2000-04-03,1.9324
2000-04-04,-5.5292
2000-04-05,-5.5184
2000-04-06,2.3009
2000-04-07,1.9031
2000-04-10,-6.4516
2000-04-11,4.3557
2000-04-12,3.3043
2000-04-13,-1.0101
2000-04-14,-1.3605
2000-04-17,-1.3793
2000-04-18,7.3427
2000-04-19,-2.6059
2000-04-20,3.6789
2000-04-24,-2.4194
2000-04-25,-1.6529
2000-04-26,0.6723
2000-04-27,3.172
2000-04-28,2.1036
2000-05-01,1.7433
2000-05-02,1.4019
2000-05-03,-6.4516
2000-05-04,4.7619
2000-05-05,0.3135
2000-05-08,3.2813
2000-05-09,3.0257
2000-05-10,-3.2305
2000-05-11,-0.607
2000-05-12,3.2061
2000-05-15,1.6272
2000-05-16,-0.8734
2000-05-17,2.0558
2000-05-18,-2.8777
2000-05-19,0.2963
2000-05-22,-4.2836
2000-05-23,4.9383
