ticker,DKL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-02,6.4286
2012-11-05,1.5659999999999998
2012-11-06,-0.8811
2012-11-07,0.8
2012-11-08,-1.94
2012-11-09,1.214
2012-11-12,-1.9990999999999999
2012-11-13,-1.6319
2012-11-14,-0.7834
2012-11-15,-0.7896
2012-11-16,-0.5618
2012-11-19,0.9887
2012-11-20,-0.6993
2012-11-21,0.7042
2012-11-23,1.9952999999999999
2012-11-26,1.289
2012-11-27,3.7906
2012-11-28,-0.4348
2012-11-29,-2.1834
2012-11-30,0.2232
2012-12-03,1.7372
2012-12-04,-1.1384
2012-12-05,0.1306
2012-12-06,0.533
2012-12-07,0.088
2012-12-10,-0.4396
2012-12-11,-1.2362
2012-12-12,0.2235
2012-12-13,-2.7208
2012-12-14,-0.0459
2012-12-17,0.8257
2012-12-18,1.6833
2012-12-19,0.6711
2012-12-20,1.7332999999999998
2012-12-21,-2.8397
2012-12-24,3.5072
2012-12-26,-1.5638999999999998
2012-12-27,-0.5737
2012-12-28,0.3107
2012-12-31,1.7699
2013-01-02,3.6957
2013-01-03,0.5451
2013-01-04,-0.2919
2013-01-07,-0.4601
2013-01-08,-1.9748
2013-01-09,1.0716
2013-01-10,3.3079
2013-01-11,1.9704000000000002
2013-01-14,-1.409
2013-01-15,0.6125
2013-01-16,-0.5276
2013-01-17,0.5712
2013-01-18,-0.6491
2013-01-22,2.6541
2013-01-23,2.3468999999999998
2013-01-24,-0.855
2013-01-25,1.176
2013-01-28,-0.4262
2013-01-29,0.3113
2013-01-30,-1.2025000000000001
2013-01-31,1.649
2013-02-01,0.8497
2013-02-04,0.6664
2013-02-05,3.4919000000000002
2013-02-06,-1.5202
2013-02-07,1.7319
2013-02-08,-0.4811
2013-02-11,-0.3347
2013-02-12,3.7313
2013-02-13,2.2662
2013-02-14,-0.5276
2013-02-15,-3.2532
2013-02-19,3.9839
2013-02-20,-0.3163
2013-02-21,-1.9746000000000001
2013-02-22,-0.5036
2013-02-25,-0.0362
2013-02-26,0.9042
2013-02-27,-0.3226
2013-02-28,1.3305
2013-03-01,-0.2839
2013-03-04,-0.7473
2013-03-05,3.9441
2013-03-06,-0.7934
2013-03-07,0.6606
2013-03-08,0.5527
2013-03-11,0.7214
2013-03-12,-0.5116
2013-03-13,-1.3713
2013-03-14,0.4866
2013-03-15,1.6949
2013-03-18,2.1088
2013-03-19,-0.966
2013-03-20,0.5382
2013-03-21,1.7063000000000001
2013-03-22,0.3289
2013-03-25,0.5246
