ticker,THO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8214
2000-01-04,-2.2774
2000-01-05,-0.4237
2000-01-06,-3.1915
2000-01-07,0.6593
2000-01-10,1.31
2000-01-11,-1.9397
2000-01-12,-0.2198
2000-01-13,3.0837
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.641
2000-01-20,0.0
2000-01-21,0.6369
2000-01-24,0.4219
2000-01-25,-0.8403
2000-01-26,-0.8475
2000-01-27,1.9231
2000-01-28,-1.0482
2000-01-31,-0.4237
2000-02-01,-0.2128
2000-02-02,3.4115
2000-02-03,-1.4433
2000-02-04,1.2551999999999999
2000-02-07,-2.4793
2000-02-08,-2.5423999999999998
2000-02-09,-1.9565000000000001
2000-02-10,-2.6608
2000-02-11,-0.6834
2000-02-14,-0.4587
2000-02-15,-1.3825
2000-02-16,-0.9346
2000-02-17,1.4151
2000-02-18,-4.8837
2000-02-22,0.7335
2000-02-23,0.9709
2000-02-24,-3.8462
2000-02-25,-3.5
2000-02-28,1.5544
2000-02-29,4.3367
2000-03-01,-1.2225
2000-03-02,0.7426
2000-03-03,-0.9828
2000-03-06,-0.4963
2000-03-07,0.0
2000-03-08,-3.4913
2000-03-09,1.0336
2000-03-10,-0.7673
2000-03-13,0.7732
2000-03-14,-0.2558
2000-03-15,-0.6872
2000-03-16,4.3928
2000-03-17,-3.2178
2000-03-20,-1.7903
2000-03-21,-0.5208
2000-03-22,1.5707
2000-03-23,2.8350999999999997
2000-03-24,-3.2580999999999998
2000-03-27,2.3316
2000-03-28,-1.5190000000000001
2000-03-29,-0.7712
2000-03-30,1.5544
2000-03-31,-0.7653
2000-04-03,2.5707
2000-04-04,-1.2530999999999999
2000-04-05,3.5533
2000-04-06,0.4902
2000-04-07,0.9756
2000-04-10,0.7246
2000-04-11,-4.0767
2000-04-12,-0.5
2000-04-13,3.5176
2000-04-14,-5.0971
2000-04-17,7.4169
2000-04-18,1.6667
2000-04-19,5.1522
2000-04-20,-1.7816999999999998
2000-04-24,-2.7211
2000-04-25,1.8648
2000-04-26,0.6865
2000-04-27,-2.2727
2000-04-28,0.2326
2000-05-01,0.6961
2000-05-02,-0.6912
2000-05-03,-3.4803
2000-05-04,1.9231
2000-05-05,-0.9434
2000-05-08,-3.8095
2000-05-09,-0.9901
2000-05-10,-1.5
2000-05-11,0.0
2000-05-12,1.2690000000000001
2000-05-15,0.0
2000-05-16,-2.005
2000-05-17,-0.2558
2000-05-18,0.2564
2000-05-19,-1.2788
