ticker,ARCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-26,34.2857
2018-09-27,0.8085
2018-09-28,-3.7569
2018-10-01,-3.5965
2018-10-02,-0.273
2018-10-03,5.9307
2018-10-04,-2.627
2018-10-05,-1.0172
2018-10-08,0.6702
2018-10-09,-1.5535
2018-10-10,-3.1109
2018-10-11,4.6068
2018-10-12,-2.0463
2018-10-15,-1.9074
2018-10-16,3.8889
2018-10-17,1.2032
2018-10-18,1.2328999999999999
2018-10-19,-1.0439
2018-10-22,-2.5495
2018-10-23,-0.2706
2018-10-24,-4.3419
2018-10-25,1.6548
2018-10-26,0.9767
2018-10-29,-1.3357999999999999
2018-10-30,-0.5135
2018-10-31,0.0
2018-11-01,-0.1877
2018-11-02,5.2656
2018-11-05,-0.268
2018-11-06,-1.3435000000000001
2018-11-07,-0.1362
2018-11-08,0.1818
2018-11-09,-3.5844
2018-11-12,3.6706
2018-11-13,-4.3123000000000005
2018-11-14,1.518
2018-11-15,7.3832
2018-11-16,-0.5222
2018-11-19,-2.9746
2018-11-20,1.7583
2018-11-21,4.7408
2018-11-23,3.5956
2018-11-26,-1.225
2018-11-27,-2.5629999999999997
2018-11-28,-0.9334
2018-11-29,-0.5567
2018-11-30,1.8519
2018-12-03,0.4228
2018-12-04,1.9788999999999999
2018-12-06,-1.8167
2018-12-07,-1.0723
2018-12-10,-6.3549
2018-12-11,-1.6341
2018-12-12,-0.4153
2018-12-13,-2.6877
2018-12-14,2.3810000000000002
2018-12-17,-2.6512000000000002
2018-12-18,1.1467
2018-12-19,0.6141
2018-12-20,-6.1033
2018-12-21,-2.65
2018-12-24,2.8249
2018-12-26,2.8472
2018-12-27,2.0884
2018-12-28,2.6166
2018-12-31,2.5498
2019-01-02,-1.8535
2019-01-03,-0.8752
2019-01-04,1.487
2019-01-07,-0.0916
2019-01-08,0.8249
2019-01-09,-1.4545
2019-01-10,0.8303
2019-01-11,-1.2351
2019-01-14,-1.3895
2019-01-15,2.8651999999999997
2019-01-16,-0.6393
2019-01-17,-0.3217
2019-01-18,1.752
2019-01-22,2.1749
2019-01-23,-2.7938
2019-01-24,7.208
2019-01-25,-1.5745
2019-01-28,5.4907
2019-01-29,-2.8279
2019-01-30,6.2843
2019-01-31,0.3175
2019-02-01,-0.1582
2019-02-04,-0.2773
2019-02-05,1.3111
2019-02-06,-0.4706
2019-02-07,2.4429
2019-02-08,2.4231
2019-02-11,-0.4882
2019-02-12,0.4906
2019-02-13,0.0751
