ticker,CNTTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-28,13.9394
2017-08-29,0.9311
2017-08-30,-2.2057
2017-08-31,-0.2951
2017-09-01,1.6913
2017-09-05,-2.4948
2017-09-06,-0.9275
2017-09-07,-3.0453
2017-09-08,2.4417
2017-09-11,2.7519
2017-09-12,2.5411
2017-09-14,15.3213
2017-09-15,11.1012
2017-09-18,7.8612
2017-09-19,4.5054
2017-09-20,-0.1531
2017-09-21,-8.549900000000001
2017-09-25,0.9747
2017-09-27,3.9384
2017-09-28,5.6689
2017-09-29,3.9093
2017-10-02,-2.5442
2017-10-03,1.649
2017-10-04,0.4269
2017-10-05,13.7664
2017-10-06,5.1864
2017-10-10,11.1743
2017-10-11,-3.4254
2017-10-12,-0.7411
2017-10-13,-3.5547
2017-10-16,7.2248
2017-10-17,-6.9134
2017-10-18,6.5126
2017-10-19,-4.9311
2017-10-20,-1.0697
2017-10-23,1.8168
2017-10-24,-0.5432
2017-10-25,-4.361
2017-10-26,3.4834
2017-10-27,0.7532
2017-10-30,7.0898
2017-10-31,5.3934
2017-11-01,-2.742
2017-11-02,-0.0846
2017-11-03,2.809
2017-11-06,11.9539
2017-11-07,3.9112999999999998
2017-11-08,2.2672
2017-11-09,-1.5351
2017-11-10,2.521
2017-11-13,5.0556
2017-11-14,-2.2907
2017-11-15,10.8924
2017-11-16,3.276
2017-11-17,4.1612
2017-11-20,-1.1924
2017-11-21,-1.9203999999999999
2017-11-22,-1.2167
2017-11-24,3.7608
2017-11-27,1.5594999999999999
2017-11-28,-7.4716000000000005
2017-11-29,-7.2026
2017-11-30,0.0477
2017-12-01,7.5331
2017-12-04,-0.7408
2017-12-05,6.2435
2017-12-06,-3.0097
2017-12-07,-0.901
2017-12-08,4.1506
2017-12-11,2.6305
2017-12-12,7.4030000000000005
2017-12-13,1.1224
2017-12-14,0.0075
2017-12-15,-5.09
2017-12-18,2.3879
2017-12-19,0.8833
2017-12-20,-1.1352
2017-12-21,1.6454
2017-12-22,-0.9936
2017-12-27,10.6685
2017-12-28,4.4448
2017-12-29,-2.5459
2018-01-02,8.1113
2018-01-03,11.2744
2018-01-04,-11.6382
2018-01-05,7.2386
2018-01-08,7.4811
2018-01-09,-1.112
2018-01-10,0.1097
2018-01-11,-5.1472
2018-01-12,-6.6154
2018-01-16,10.9878
2018-01-17,1.8149
2018-01-18,-1.1052
2018-01-19,0.2078
2018-01-22,4.9919
2018-01-23,4.4094999999999995
2018-01-24,0.9581
