ticker,YYYH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-04,154.902
2005-08-05,3.8462
2005-08-08,11.7778
2005-08-09,12.657399999999999
2005-08-10,0.0
2005-08-11,0.5882
2005-08-12,0.0
2005-08-15,-3.8012
2005-08-16,-9.1185
2005-08-17,-1.4047
2005-08-18,1.7639
2005-08-19,1.6667
2005-08-22,-3.2787
2005-08-23,-8.4746
2005-08-24,11.4815
2005-08-25,-0.3322
2005-08-26,-3.3333
2005-08-29,1.6552
2005-08-30,1.7639
2005-08-31,3.3333
2005-09-01,6.4516
2005-09-02,-4.8485
2005-09-06,-12.4204
2005-09-07,10.1818
2005-09-08,-0.9901
2005-09-09,0.0
2005-09-12,0.0
2005-09-13,0.6667
2005-09-14,0.9934
2005-09-15,4.5902
2005-09-16,0.3135
2005-09-19,-6.875
2005-09-20,1.0067
2005-09-21,-0.3322
2005-09-22,0.0
2005-09-23,4.3333
2005-09-26,-0.9585
2005-09-27,-3.2258
2005-09-28,-5.0
2005-09-29,-1.7544
2005-09-30,5.0
2005-10-03,3.7415000000000003
2005-10-04,0.0
2005-10-05,0.0
2005-10-06,-1.6393
2005-10-07,-6.6667
2005-10-10,2.5
2005-10-11,-4.1812
2005-10-12,1.8182
2005-10-13,0.0
2005-10-14,0.3571
2005-10-17,-0.3559
2005-10-18,-7.1429
2005-10-19,-1.9231
2005-10-20,8.6275
2005-10-21,-6.1372
2005-10-24,0.0
2005-10-25,0.0
2005-10-26,-6.7692
2005-10-27,-0.9901
2005-10-28,1.0
2005-10-31,0.6601
2005-11-01,0.4098
2005-11-02,0.0
2005-11-03,-2.0408
2005-11-04,0.0
2005-11-07,-7.0
2005-11-08,-1.8817
2005-11-09,0.4566
2005-11-10,6.3636
2005-11-11,-1.2821
2005-11-14,-4.7619
2005-11-15,3.9091
2005-11-16,-0.2625
2005-11-17,-2.6316
2005-11-18,-9.8198
2005-11-21,4.8951
2005-11-22,-0.0952
2005-11-23,-1.3346
2005-11-25,-3.3816
2005-11-28,-5.0
2005-11-29,-10.4211
2005-11-30,5.7579
2005-12-01,-5.4444
2005-12-02,3.9953
2005-12-05,4.5198
2005-12-06,-2.7027
2005-12-07,-0.1111
2005-12-08,-9.3437
2005-12-09,-1.8405
2005-12-12,1.375
2005-12-13,-1.4797
2005-12-14,-3.0038
2005-12-15,-5.1613
2005-12-16,-0.6803
2005-12-19,-2.0548
2005-12-20,-10.4895
2005-12-21,17.1875
2005-12-22,-6.8
2005-12-23,-8.2976
