ticker,POWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1291
2000-01-04,-2.0188
2000-01-05,4.1209
2000-01-06,-2.6385
2000-01-07,6.2331
2000-01-10,7.6531
2000-01-11,-2.6066000000000003
2000-01-12,5.8394
2000-01-13,6.6667
2000-01-14,6.25
2000-01-18,6.4909
2000-01-19,-3.6189999999999998
2000-01-20,-1.581
2000-01-21,-17.3695
2000-01-24,-10.0851
2000-01-25,-0.4054
2000-01-26,-8.1411
2000-01-27,-1.034
2000-01-28,-2.3881
2000-01-31,-10.5505
2000-02-01,2.5641
2000-02-02,2.0
2000-02-03,3.5948
2000-02-04,3.7855
2000-02-07,2.2796
2000-02-08,13.2244
2000-02-09,-0.3937
2000-02-10,6.1924
2000-02-11,-1.2407
2000-02-14,0.7538
2000-02-15,-3.2419000000000002
2000-02-16,-3.0928
2000-02-17,0.4654
2000-02-18,-3.2429
2000-02-22,-3.8304
2000-02-23,3.2717
2000-02-24,3.8567
2000-02-25,0.7958
2000-02-28,-5.7895
2000-02-29,16.0615
2000-03-01,22.2323
2000-03-02,-9.8203
2000-03-03,13.5371
2000-03-06,-2.9808
2000-03-07,-4.2616
2000-03-08,-1.0352
2000-03-09,3.3473
2000-03-10,-3.6437
2000-03-13,-7.3529
2000-03-14,-9.2971
2000-03-15,-11.875
2000-03-16,9.6454
2000-03-17,3.7516
2000-03-20,-0.4988
2000-03-21,-1.7544
2000-03-22,-0.5102
2000-03-23,1.0256
2000-03-24,-39.9746
2000-03-27,-5.7082
2000-03-28,-6.5022
2000-03-29,-7.4341
2000-03-30,-5.6995000000000005
2000-03-31,9.8901
2000-04-03,-12.25
2000-04-04,-1.9943
2000-04-05,-1.4535
2000-04-06,-6.7847
2000-04-07,9.1772
2000-04-10,4.058
2000-04-11,-13.649000000000001
2000-04-12,-7.0968
2000-04-13,-2.4306
2000-04-14,-14.2349
2000-04-17,9.1286
2000-04-18,39.924
2000-04-19,-9.2391
2000-04-20,2.3952
2000-04-24,-5.848
2000-04-25,2.1739
2000-04-26,2.7356
2000-04-27,4.142
2000-04-28,3.4091
2000-05-01,13.7363
2000-05-02,4.3478
2000-05-03,3.0093
2000-05-04,3.1461
2000-05-05,-3.268
2000-05-08,-9.6847
2000-05-09,-3.4913
2000-05-10,-10.0775
2000-05-11,5.4597999999999995
2000-05-12,-0.2725
2000-05-15,4.6448
2000-05-16,8.6162
2000-05-17,-3.3654
2000-05-18,-5.4726
2000-05-19,2.1053
