ticker,PDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-26,40.5263
2018-07-27,-7.8652
2018-07-30,-8.5366
2018-07-31,0.4
2018-08-01,-10.093
2018-08-02,-3.2004
2018-08-03,-3.001
2018-08-06,5.7158
2018-08-07,3.621
2018-08-08,-2.9679
2018-08-09,-1.332
2018-08-10,-2.45
2018-08-13,-0.3588
2018-08-14,-2.2634
2018-08-15,-6.8421
2018-08-16,7.5706
2018-08-17,-0.2101
2018-08-20,-0.2632
2018-08-21,-1.0554
2018-08-22,-1.8667
2018-08-23,-0.4891
2018-08-24,-5.953
2018-08-27,11.324
2018-08-28,1.9301
2018-08-29,8.2395
2018-08-30,-14.9409
2018-08-31,7.5598
2018-09-04,7.2351
2018-09-05,-9.3976
2018-09-06,1.6489
2018-09-07,2.4071
2018-09-10,0.8687
2018-09-11,19.4022
2018-09-12,-2.2486
2018-09-13,30.0347
2018-09-14,-12.0828
2018-09-17,-7.5171
2018-09-18,-7.0608
2018-09-19,1.5901
2018-09-20,7.1739
2018-09-21,3.854
2018-09-24,3.4766
2018-09-25,1.6987999999999999
2018-09-26,-3.2665
2018-09-27,1.0361
2018-09-28,-0.1519
2018-10-01,5.3252
2018-10-02,-7.3312
2018-10-03,2.4162
2018-10-04,-13.6225
2018-10-05,-4.0529
2018-10-08,-2.7089
2018-10-09,5.4271
2018-10-10,-8.9973
2018-10-11,2.4102
2018-10-12,3.8425000000000002
2018-10-15,-2.3589
2018-10-16,-1.4211
2018-10-17,-3.9404
2018-10-18,-5.953
2018-10-19,-0.6383
2018-10-22,6.7987
2018-10-23,-7.218
2018-10-24,-6.429
2018-10-25,7.1594
2018-10-26,-1.9397
2018-10-29,-4.5604
2018-10-30,-0.9787
2018-10-31,2.6163
2018-11-01,15.2408
2018-11-02,0.1475
2018-11-05,-1.5709
2018-11-06,-2.0449
2018-11-07,5.499
2018-11-08,-6.9498
2018-11-09,-5.0311
2018-11-12,-5.953
2018-11-13,-0.4065
2018-11-14,11.6618
2018-11-15,6.423
2018-11-16,2.208
2018-11-19,-4.7528
2018-11-20,16.6331
2018-11-21,2.2472
2018-11-23,-4.9028
2018-11-26,-5.6889
2018-11-27,5.7964
2018-11-28,2.0045
2018-11-29,-2.0087
2018-11-30,2.3173
2018-12-03,4.399
2018-12-04,-2.7117
2018-12-06,-3.3448
2018-12-07,-8.5626
2018-12-10,-2.426
2018-12-11,3.4809
2018-12-12,8.8419
2018-12-13,-0.3091
2018-12-14,2.3029
