ticker,VALPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.2842
2000-01-04,-0.8746
2000-01-05,1.4706000000000001
2000-01-06,6.9565
2000-01-07,1.897
2000-01-10,-1.3298
2000-01-11,2.6954000000000002
2000-01-12,-5.5118
2000-01-13,4.4444
2000-01-14,5.0532
2000-01-18,7.3418
2000-01-19,1.1792
2000-01-20,-2.0979
2000-01-21,4.0476
2000-01-24,-7.5515
2000-01-25,-2.2277
2000-01-26,0.0
2000-01-27,-5.8228
2000-01-28,-1.6129
2000-01-31,0.0
2000-02-01,1.9125999999999999
2000-02-02,3.2172
2000-02-03,-0.5195
2000-02-04,-1.3054999999999999
2000-02-07,2.6455
2000-02-08,-3.0928
2000-02-09,-3.7234
2000-02-10,4.9724
2000-02-11,3.4211
2000-02-14,7.888
2000-02-15,7.5472
2000-02-16,-2.193
2000-02-17,0.4484
2000-02-18,-1.3393
2000-02-22,-1.3575
2000-02-23,0.2294
2000-02-24,8.0092
2000-02-25,-1.4830999999999999
2000-02-28,-0.3441
2000-02-29,3.8877
2000-03-01,2.4948
2000-03-02,6.6937
2000-03-03,-0.7605
2000-03-06,2.1073
2000-03-07,1.8761999999999999
2000-03-08,-7.9190000000000005
2000-03-09,-3.0
2000-03-10,1.0309
2000-03-13,-1.8367
2000-03-14,1.0395
2000-03-15,-3.0864
2000-03-16,8.9172
2000-03-17,-4.0936
2000-03-20,-3.0488
2000-03-21,3.5639
2000-03-22,7.6923
2000-03-23,-1.1278
2000-03-24,0.7605
2000-03-27,1.8868
2000-03-28,-2.2222
2000-03-29,7.7652
2000-03-30,-0.8787
2000-03-31,2.4823
2000-04-03,1.7301
2000-04-04,-10.7143
2000-04-05,-5.3333
2000-04-06,3.0181
2000-04-07,0.5859
2000-04-10,-9.7087
2000-04-11,11.1828
2000-04-12,1.7408000000000001
2000-04-13,-7.2243
2000-04-14,-1.6393
2000-04-17,-4.5833
2000-04-18,6.7686
2000-04-19,0.2045
2000-04-20,4.0816
2000-04-24,2.549
2000-04-25,-2.6769
2000-04-26,0.7859
2000-04-27,2.924
2000-04-28,0.0
2000-05-01,1.8939
2000-05-02,3.9032999999999998
2000-05-03,-4.4723
2000-05-04,7.3034
2000-05-05,1.9197
2000-05-08,4.6233
2000-05-09,-0.6547
2000-05-10,-2.8007
2000-05-11,0.5085
2000-05-12,0.5059
2000-05-15,1.8456000000000001
2000-05-16,-2.9654
2000-05-17,4.7538
2000-05-18,-5.3485
2000-05-19,2.7397
