ticker,GOSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-08,12.125
2019-02-11,2.3411
2019-02-12,0.7625
2019-02-13,-4.973
2019-02-14,6.6553
2019-02-15,2.9333
2019-02-19,1.7617
2019-02-20,2.444
2019-02-21,3.3797
2019-02-22,8.1731
2019-02-25,2.9778000000000002
2019-02-26,3.4527
2019-02-27,-12.5991
2019-02-28,4.2005
2019-03-01,5.3596
2019-03-04,-0.7391
2019-03-05,-10.1621
2019-03-06,1.609
2019-03-07,-7.6296
2019-03-08,2.4935
2019-03-11,0.6589
2019-03-12,-2.0141
2019-03-13,0.4625
2019-03-14,2.3018
2019-03-15,2.4
2019-03-18,7.8613
2019-03-19,6.7451
2019-03-20,-1.3571
2019-03-21,-0.086
2019-03-22,-7.0568
2019-03-25,2.3148
2019-03-26,-3.2579000000000002
2019-03-27,-3.0402
2019-03-28,2.8461
2019-03-29,1.6417000000000002
2019-04-01,-4.5685
2019-04-02,-0.0967
2019-04-03,-0.3872
2019-04-04,-3.4985
2019-04-05,-0.6042
2019-04-08,-5.8257
2019-04-09,-6.8854
2019-04-10,-0.4622
2019-04-11,1.2187999999999999
2019-04-12,-1.2615
2019-04-15,-0.6388
2019-04-16,1.6364999999999998
2019-04-17,-5.8654
2019-04-18,-0.7941
2019-04-22,1.8473000000000002
2019-04-23,3.4462
2019-04-24,-2.8054
2019-04-25,-2.5256
2019-04-26,-0.5552
2019-04-29,7.0099
2019-04-30,-1.6812
2019-05-01,-1.7099
2019-05-02,-1.1998
2019-05-03,6.1931
2019-05-06,3.0875
2019-05-07,0.7765
2019-05-08,0.0
2019-05-09,3.137
2019-05-10,3.6286
2019-05-13,4.171
2019-05-14,-4.6466
2019-05-15,6.2208
2019-05-16,3.1723
2019-05-17,-0.7569
2019-05-20,-1.6206
2019-05-21,0.5329
2019-05-22,-1.7349
2019-05-23,-2.5503
2019-05-24,3.5229
2019-05-28,-1.4584
2019-05-29,-0.6907
2019-05-30,-7.1535
2019-05-31,-2.0332
2019-06-03,3.55
2019-06-04,1.8987
2019-06-05,-7.3499
2019-06-06,-1.1732
2019-06-07,4.4093
2019-06-10,5.7932
2019-06-11,-4.3501
2019-06-12,1.6051
2019-06-13,2.3697
2019-06-14,4.2181
2019-06-17,4.0967
2019-06-18,1.0431
2019-06-19,4.7396
2019-06-20,-2.1057
2019-06-21,4.7597000000000005
2019-06-24,-3.1892
2019-06-25,-0.1805
2019-06-26,-5.1537
2019-06-27,0.143
