ticker,CPLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-30,24.4186
2007-04-02,-0.785
2007-04-03,-0.5237
2007-04-04,-0.7613
2007-04-05,-0.0763
2007-04-09,0.0764
2007-04-10,0.0
2007-04-11,0.458
2007-04-12,-0.19
2007-04-13,-0.2665
2007-04-16,-0.1908
2007-04-17,-0.4207
2007-04-18,0.5376
2007-04-19,0.0
2007-04-20,-1.2223
2007-04-23,0.5414
2007-04-24,0.5385
2007-04-25,0.6121
2007-04-26,-0.4943
2007-04-27,0.4585
2007-04-30,-0.4564
2007-05-01,0.9171
2007-05-02,-1.0223
2007-05-03,-0.5356
2007-05-04,-0.0769
2007-05-07,3.2333
2007-05-08,-1.5659999999999998
2007-05-09,0.2652
2007-05-10,0.4911
2007-05-11,-0.7519
2007-05-14,0.6439
2007-05-15,0.0376
2007-05-16,-0.6772
2007-05-17,0.4167
2007-05-18,-0.2263
2007-05-21,-0.3781
2007-05-22,-1.1385
2007-05-23,-0.7678
2007-05-24,0.4642
2007-05-25,-0.6546
2007-05-29,-0.2713
2007-05-30,-0.1166
2007-05-31,-0.7782
2007-06-01,0.1961
2007-06-04,0.1566
2007-06-05,-0.3146
2007-06-06,-0.3508
2007-06-07,-1.8883
2007-06-08,-0.9623
2007-06-11,0.0405
2007-06-12,1.295
2007-06-13,-0.5194
2007-06-14,1.4056
2007-06-15,1.7822
2007-06-18,4.6693
2007-06-19,-0.4089
2007-06-20,-0.4106
2007-06-21,3.1859
2007-06-22,3.705
2007-06-25,-0.1751
2007-06-26,-1.7544
2007-06-27,0.0
2007-06-28,0.7857
2007-06-29,1.0631
2007-07-02,0.6662
2007-07-03,0.418
2007-07-05,0.4162
2007-07-06,-0.1036
2007-07-09,-1.4523
2007-07-10,1.5439
2007-07-11,2.9717000000000002
2007-07-12,2.9866
2007-07-13,0.8472
2007-07-16,0.9693
2007-07-17,0.672
2007-07-18,0.1271
2007-07-19,0.5714
2007-07-20,0.221
2007-07-23,-0.378
2007-07-24,-0.0948
2007-07-25,-0.6329
2007-07-26,-0.7325
2007-07-27,0.9304
2007-07-30,-1.78
2007-07-31,4.6278
2007-08-01,-7.8998
2007-08-02,-2.1944
2007-08-03,-1.4950999999999999
2007-08-06,-2.1179
2007-08-07,1.7309999999999999
2007-08-08,0.6735
2007-08-09,-0.3169
2007-08-10,0.6005
2007-08-13,-0.8076
2007-08-14,-0.7434
2007-08-15,-2.2468
2007-08-16,-7.0047
2007-08-17,0.9808
