ticker,ROG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9804
2000-01-04,-2.9703
2000-01-05,1.3605
2000-01-06,3.6913
2000-01-07,2.589
2000-01-10,2.3659
2000-01-11,0.7704
2000-01-12,-1.9878
2000-01-13,0.0
2000-01-14,0.312
2000-01-18,-0.4666
2000-01-19,0.1563
2000-01-20,2.3401
2000-01-21,-0.6098
2000-01-24,1.5337
2000-01-25,0.0
2000-01-26,-2.1148
2000-01-27,-2.1605
2000-01-28,-0.4732
2000-01-31,-3.645
2000-02-01,0.4934
2000-02-02,2.7823
2000-02-03,6.6879
2000-02-04,2.3881
2000-02-07,-3.4985
2000-02-08,6.6465
2000-02-09,7.932
2000-02-10,7.6115
2000-02-11,0.9756
2000-02-14,4.8309
2000-02-15,6.106
2000-02-16,1.8458
2000-02-17,0.6397
2000-02-18,-0.8475
2000-02-22,-1.4957
2000-02-23,-2.82
2000-02-24,-3.125
2000-02-25,2.0737
2000-02-28,1.5800999999999998
2000-02-29,4.3333
2000-03-01,0.1065
2000-03-02,-2.766
2000-03-03,-1.7505
2000-03-06,1.4477
2000-03-07,0.5488
2000-03-08,1.0917
2000-03-09,5.6156
2000-03-10,8.7935
2000-03-13,0.5639
2000-03-14,0.6542
2000-03-15,-5.9424
2000-03-16,4.4423
2000-03-17,1.3233
2000-03-20,-2.7984999999999998
2000-03-21,-2.1113
2000-03-22,2.1569
2000-03-23,-0.1919
2000-03-24,0.3846
2000-03-27,-1.6284
2000-03-28,-1.4606
2000-03-29,0.1976
2000-03-30,-0.9862
2000-03-31,0.0
2000-04-03,-0.3984
2000-04-04,-2.4
2000-04-05,1.6393
2000-04-06,3.2258
2000-04-07,4.4922
2000-04-10,-2.8037
2000-04-11,1.4423
2000-04-12,7.0142
2000-04-13,-3.4544
2000-04-14,-4.9541
2000-04-17,3.9575
2000-04-18,0.2786
2000-04-19,-0.0926
2000-04-20,-0.0927
2000-04-24,0.6494
2000-04-25,0.1843
2000-04-26,-0.92
2000-04-27,-0.4643
2000-04-28,0.5597
2000-05-01,-0.0928
2000-05-02,-0.0929
2000-05-03,-1.5798999999999999
2000-05-04,-0.0944
2000-05-05,1.7957999999999998
2000-05-08,-1.6713
2000-05-09,-1.6053
2000-05-10,-1.1516
2000-05-11,-0.5825
2000-05-12,-0.4883
2000-05-15,1.7664
2000-05-16,1.4465
2000-05-17,-2.2814
2000-05-18,0.9728
2000-05-19,-0.1927
2000-05-22,0.9653
2000-05-23,-0.956
