ticker,ADPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-27,101.5
2019-06-28,19.8511
2019-07-01,-16.9772
2019-07-02,-3.0175
2019-07-03,0.6943
2019-07-05,3.4474
2019-07-08,-7.4056
2019-07-09,-1.3596
2019-07-10,1.8919000000000001
2019-07-11,-0.1592
2019-07-12,3.6132
2019-07-15,-2.2051
2019-07-16,1.3372
2019-07-17,-1.4489
2019-07-18,-0.21
2019-07-19,1.3681
2019-07-22,1.9205999999999999
2019-07-23,2.8266
2019-07-24,0.0
2019-07-25,-0.421
2019-07-26,-1.3429
2019-07-29,-4.8147
2019-07-30,-2.2775
2019-07-31,4.4715
2019-08-01,0.2075
2019-08-02,-3.3653
2019-08-05,-5.9202
2019-08-06,3.5877
2019-08-07,7.1743
2019-08-08,1.821
2019-08-09,4.8615
2019-08-12,0.9128
2019-08-13,2.547
2019-08-14,0.9517
2019-08-15,9.9333
2019-08-16,-3.5766999999999998
2019-08-19,-0.0434
2019-08-20,-2.2569
2019-08-21,4.1963
2019-08-22,-2.5783
2019-08-23,-5.7087
2019-08-26,2.5052
2019-08-27,0.6789
2019-08-28,6.5857
2019-08-29,5.6727
2019-08-30,1.4768
2019-09-03,0.944
2019-09-04,4.247
2019-09-05,-16.6511
2019-09-06,-1.7265000000000001
2019-09-09,-9.9247
2019-09-10,4.5339
2019-09-11,1.1873
2019-09-12,-4.7893
2019-09-13,8.6519
2019-09-16,-3.8657
2019-09-17,-2.8413
2019-09-18,-1.8835
2019-09-19,-1.4398
2019-09-20,3.0241
2019-09-23,0.8209
2019-09-24,-7.772
2019-09-25,-6.4741
2019-09-26,-7.9233
2019-09-27,-5.8403
2019-09-30,1.9466
2019-10-01,-2.5243
2019-10-02,-0.5644
2019-10-03,3.2053
2019-10-04,2.3617
2019-10-07,3.6662
2019-10-08,-9.7561
2019-10-09,-2.3649
2019-10-10,-0.692
2019-10-11,-4.0418
2019-10-14,-1.4887000000000001
2019-10-15,10.1732
2019-10-16,0.8029
2019-10-17,2.9539
2019-10-18,-5.6415
2019-10-21,-9.8736
2019-10-22,-3.298
2019-10-23,-3.724
2019-10-24,5.8632
2019-10-25,-1.4615
2019-10-28,1.8345
2019-10-29,0.4216
2019-10-30,-0.458
2019-10-31,-0.0575
2019-11-01,7.8074
2019-11-04,8.3986
2019-11-05,-8.0598
2019-11-06,-4.3742
2019-11-07,-0.5601
2019-11-08,3.605
2019-11-11,2.6459
2019-11-12,0.1059
2019-11-13,-3.8095
