ticker,ONTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-25,32.5333
2013-07-26,1.006
2013-07-29,7.0717
2013-07-30,1.6743999999999999
2013-07-31,-0.3202
2013-08-01,0.0459
2013-08-02,8.211
2013-08-05,23.7813
2013-08-06,-4.9658
2013-08-07,1.009
2013-08-08,2.9968
2013-08-09,1.8357999999999999
2013-08-12,-2.0068
2013-08-13,-3.6793
2013-08-14,-0.2883
2013-08-15,-2.4214
2013-08-16,-4.8519
2013-08-19,-4.9825
2013-08-20,-0.2458
2013-08-21,2.5051
2013-08-22,3.2051
2013-08-23,4.736
2013-08-26,0.6672
2013-08-27,-7.1429
2013-08-28,0.5749
2013-08-29,-2.5034
2013-08-30,-1.577
2013-09-03,2.917
2013-09-04,0.6387
2013-09-05,1.9437
2013-09-06,1.2451
2013-09-09,1.96
2013-09-10,-0.49
2013-09-11,-4.3561
2013-09-12,-1.3860999999999999
2013-09-13,0.4016
2013-09-16,0.6
2013-09-17,-1.6301999999999999
2013-09-18,0.9701
2013-09-19,0.8407
2013-09-20,-2.104
2013-09-23,1.4193
2013-09-24,-2.399
2013-09-25,7.3331
2013-09-26,5.916
2013-09-27,-3.1351
2013-09-30,-1.5253
2013-10-01,1.1711
2013-10-02,2.3898
2013-10-03,5.0693
2013-10-04,1.1454
2013-10-07,-4.9073
2013-10-08,-3.8614
2013-10-09,-7.9955
2013-10-10,0.2856
2013-10-11,-2.441
2013-10-14,-5.588
2013-10-15,-3.0035
2013-10-16,-0.5009
2013-10-17,0.4119
2013-10-18,-5.7429
2013-10-21,-3.5783
2013-10-22,-5.8676
2013-10-23,-5.967
2013-10-24,-5.6091
2013-10-25,-5.8223
2013-10-28,6.3098
2013-10-29,7.554
2013-10-30,-8.8629
2013-10-31,-3.7309
2013-11-01,-4.8285
2013-11-04,-0.8011
2013-11-05,9.6904
2013-11-06,-5.8282
2013-11-07,-13.6808
2013-11-08,-2.1132
2013-11-11,3.2382
2013-11-12,-2.3898
2013-11-13,0.6121
2013-11-14,-8.7452
2013-11-15,-0.25
2013-11-18,-1.8378999999999999
2013-11-19,10.7234
2013-11-20,16.9101
2013-11-21,-4.2078
2013-11-22,-2.4022
2013-11-25,-3.6568
2013-11-26,3.4307
2013-11-27,1.1997
2013-11-29,2.3013
2013-12-02,3.6128
2013-12-03,1.1184
2013-12-04,2.3422
2013-12-05,4.0051
2013-12-06,-0.8557
2013-12-09,-7.1517
2013-12-10,-0.996
2013-12-11,-6.1033
