ticker,PNYTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-09,-22.6923
2011-02-10,-7.4627
2011-02-11,29.0323
2011-02-14,9.6354
2011-02-15,-7.6485
2011-02-16,-1.8519
2011-02-17,-8.3857
2011-02-18,-0.8581
2011-02-22,7.5591
2011-02-23,-0.2682
2011-02-24,-5.971
2011-02-28,8.238
2011-03-01,4.1754999999999995
2011-03-02,0.0507
2011-03-03,-0.8621
2011-03-04,0.2558
2011-03-15,-24.6939
2011-03-23,-0.6098
2011-03-24,8.8957
2011-03-25,-0.5947
2011-03-28,0.5668
2011-03-30,-2.0664
2011-03-31,-6.3299
2011-04-04,-1.7065000000000001
2011-04-05,2.2222
2011-04-06,1.9022000000000001
2011-04-07,4.0
2011-04-08,-8.7179
2011-04-12,-9.5506
2011-04-13,-9.937899999999999
2011-04-19,47.8017
2011-04-20,-2.0122
2011-04-21,-5.0595
2011-04-26,-9.373
2011-04-27,7.091
2011-04-29,-6.1047
2011-05-09,-3.2336
2011-05-12,-5.5812
2011-05-13,14.1566
2011-05-16,-10.2902
2011-05-27,-11.5809
2011-06-01,-13.3888
2011-06-08,-5.9049
2011-06-10,23.2653
2011-06-13,-1.7384
2011-06-14,2.6959
2011-06-16,-3.1993
2011-06-20,-6.6525
2011-06-28,1.6795
2011-06-29,-4.2857
2011-07-15,-5.9701
2011-07-18,-2.7778
2011-07-22,3.2653
2011-07-26,4.496
2011-07-27,-5.8156
2011-07-28,12.4498
2011-08-02,-8.5714
2011-08-05,-14.5996
2011-08-10,2.0011
2011-08-15,-3.5874
2011-08-16,11.6279
2011-08-17,-8.2292
2011-08-25,3.5187
2011-09-01,5.2632
2011-09-06,-15.9375
2011-09-13,0.0
2011-09-21,3.7794
2011-09-23,-20.8358
2011-09-26,8.4465
2011-10-18,13.491
2011-10-25,1.4706000000000001
2011-10-27,12.0773
2011-10-28,-5.1724
2011-11-04,13.6364
2011-11-09,16.0
2011-11-14,5.2586
2011-11-21,-15.4791
2011-11-28,23.6434
2011-11-29,-17.8683
2011-11-30,12.9771
2011-12-01,4.4764
2011-12-28,-21.7462
2012-01-06,11.7252
2012-01-09,-4.2071
2012-01-11,2.3166
2012-01-18,-9.0566
2012-01-20,0.5705
2012-01-23,8.097
2012-02-01,0.0
2012-02-03,2.2901
2012-02-07,6.7164
2012-02-10,-3.4965
2012-02-13,7.2464
2012-02-14,-0.7601
2012-02-15,-10.1277
2012-02-17,6.0606
2012-02-21,-7.1429
2012-02-23,2.3077
