ticker,ORN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-21,-3.481
2007-12-24,0.0
2007-12-26,0.0
2007-12-27,-1.6393
2007-12-28,0.3333
2007-12-31,-0.3322
2008-01-02,-0.0733
2008-01-03,-1.6612
2008-01-04,-0.6784
2008-01-07,-2.6639
2008-01-08,-0.3509
2008-01-09,-1.7606000000000002
2008-01-10,-15.7706
2008-01-11,-0.8511
2008-01-14,0.4292
2008-01-15,0.4274
2008-01-16,2.5532
2008-01-17,-3.2365
2008-01-18,-1.3721999999999999
2008-01-22,0.0
2008-01-23,3.3043
2008-01-24,-0.2525
2008-01-25,1.2658
2008-01-28,0.0
2008-01-29,6.1667
2008-01-30,6.9849
2008-01-31,4.1829
2008-02-01,-3.169
2008-02-04,2.9091
2008-02-05,0.0
2008-02-06,-1.0601
2008-02-07,-1.1429
2008-02-08,0.0
2008-02-11,1.8064
2008-02-12,-0.6388
2008-02-13,-0.0714
2008-02-14,-0.5718
2008-02-15,0.647
2008-02-19,0.6429
2008-02-20,-0.6388
2008-02-21,-0.7143
2008-02-22,-2.518
2008-02-25,-0.369
2008-02-26,-0.2963
2008-02-27,-1.5611000000000002
2008-02-28,-4.301
2008-02-29,2.5237
2008-03-03,1.5385
2008-03-04,1.2121
2008-03-05,-3.5928
2008-03-06,2.4845
2008-03-07,-1.5152
2008-03-10,0.4615
2008-03-11,0.6891
2008-03-12,-1.3688
2008-03-13,0.6939
2008-03-14,-4.2879
2008-03-17,-4.08
2008-03-18,-0.834
2008-03-19,0.5046
2008-03-20,0.4184
2008-03-24,0.0
2008-03-25,1.3333
2008-03-26,-1.3980000000000001
2008-03-27,-1.1676
2008-03-28,1.1814
2008-03-31,-0.3336
2008-04-01,3.0126
2008-04-02,-0.9586
2008-04-03,0.4757
2008-04-04,3.1837
2008-04-07,-0.0791
2008-04-08,2.9295
2008-04-09,0.0
2008-04-10,0.0
2008-04-11,0.0
2008-04-14,0.0
2008-04-15,-1.2308
2008-04-16,-1.5575999999999999
2008-04-17,-0.3165
2008-04-18,0.0
2008-04-21,0.3968
2008-04-22,2.7668
2008-04-23,0.0
2008-04-24,0.0
2008-04-25,0.1538
2008-04-28,2.5346
2008-04-29,2.0225
2008-04-30,0.4405
2008-05-01,-1.8275000000000001
2008-05-02,4.1698
2008-05-05,-2.7877
2008-05-06,-0.0009
2008-05-07,-0.2197
2008-05-08,-1.1791
2008-05-09,-2.3117
2008-05-12,-0.7634
2008-05-13,-0.0769
2008-05-14,2.0015
