ticker,KONAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-16,15.4545
2005-08-17,-1.4173
2005-08-18,-2.5559
2005-08-19,1.6393
2005-08-22,-3.2258
2005-08-23,2.5
2005-08-24,0.0
2005-08-25,0.4065
2005-08-26,-0.081
2005-08-29,-0.4052
2005-08-30,0.1627
2005-08-31,-0.8123
2005-09-01,-1.7199
2005-09-02,0.6667
2005-09-06,-2.4834
2005-09-07,-2.2071
2005-09-08,1.0417
2005-09-09,0.0859
2005-09-12,0.1717
2005-09-13,-0.5141
2005-09-14,0.7752
2005-09-15,-1.3675
2005-09-16,-0.9532
2005-09-19,-0.2625
2005-09-20,-0.0877
2005-09-21,-2.5461
2005-09-22,0.7207
2005-09-23,0.1789
2005-09-26,3.2143
2005-09-27,-2.5952
2005-09-28,0.7105
2005-09-29,-0.5291
2005-09-30,-0.266
2005-10-03,0.0
2005-10-04,-0.4444
2005-10-05,-1.3393
2005-10-06,-2.3529
2005-10-07,0.0927
2005-10-10,-5.2778
2005-10-11,1.6618
2005-10-12,-3.5577
2005-10-13,-0.997
2005-10-14,0.9063
2005-10-17,0.7984
2005-10-18,-1.8812
2005-10-19,0.9082
2005-10-20,0.9
2005-10-21,0.0
2005-10-24,0.3964
2005-10-25,-1.5795
2005-10-26,-0.7021
2005-10-27,-1.2121
2005-10-28,1.4315
2005-10-31,0.8065
2005-11-01,1.1
2005-11-02,5.2423
2005-11-03,2.9135
2005-11-04,0.3653
2005-11-07,-5.7325
2005-11-08,1.3514
2005-11-09,3.3333
2005-11-10,0.8295
2005-11-11,-2.1024
2005-11-14,-0.0934
2005-11-15,-3.7382999999999997
2005-11-16,-0.7767
2005-11-17,0.7828
2005-11-18,0.0971
2005-11-21,2.6188000000000002
2005-11-22,0.8507
2005-11-23,0.2812
2005-11-25,0.8411
2005-11-28,-0.8353
2005-11-29,0.4685
2005-11-30,-0.4651
2005-12-01,0.0
2005-12-02,0.9346
2005-12-05,0.3241
2005-12-06,0.0461
2005-12-07,0.5535
2005-12-08,-0.4587
2005-12-09,-0.6452
2005-12-12,-0.3711
2005-12-13,0.5587
2005-12-14,0.0
2005-12-15,-1.3889
2005-12-16,-1.784
2005-12-19,-0.5736
2005-12-20,0.9615
2005-12-21,-3.8095
2005-12-22,-0.198
2005-12-23,-3.2738
2005-12-27,-7.5897
2005-12-28,-2.8857
2005-12-29,-5.0286
2005-12-30,2.2864
2006-01-03,12.9412
2006-01-04,0.0
2006-01-05,1.0417
