ticker,SELB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-22,0.0
2016-06-23,0.2143
2016-06-24,-0.2138
2016-06-27,-0.0714
2016-06-28,0.0715
2016-06-29,-0.0714
2016-06-30,0.0
2016-07-01,0.2144
2016-07-05,0.0
2016-07-06,-0.0704
2016-07-07,-0.0723
2016-07-08,0.3571
2016-07-11,-0.3559
2016-07-12,0.0
2016-07-13,1.1429
2016-07-14,-1.1299
2016-07-15,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.4286
2016-07-21,-0.3556
2016-07-22,-1.7130999999999998
2016-07-25,-2.3239
2016-07-26,-6.0967
2016-07-27,-8.3927
2016-07-28,-6.0501
2016-07-29,1.1086
2016-08-01,3.9989
2016-08-02,-2.7559
2016-08-03,-0.135
2016-08-04,-1.2612999999999999
2016-08-05,7.8467
2016-08-08,-5.5415
2016-08-09,-1.3883
2016-08-10,-3.2698
2016-08-11,1.8779
2016-08-12,1.1982
2016-08-15,1.0929
2016-08-16,11.8919
2016-08-17,3.3816
2016-08-18,-1.6355
2016-08-19,1.9002
2016-08-22,0.9324
2016-08-23,-0.6928
2016-08-24,-0.155
2016-08-25,0.3882
2016-08-26,-0.8507
2016-08-29,-3.3541
2016-08-30,3.1477
2016-08-31,-6.025
2016-09-01,0.3279
2016-09-02,-1.6562000000000001
2016-09-06,5.9088
2016-09-07,3.3466
2016-09-08,7.9414
2016-09-09,0.0
2016-09-12,-3.5
2016-09-13,-3.1088
2016-09-14,0.0764
2016-09-15,0.6107
2016-09-16,-1.1381000000000001
2016-09-19,0.3837
2016-09-20,1.2997
2016-09-21,8.9057
2016-09-22,-2.4948
2016-09-23,6.6809
2016-09-26,13.058
2016-09-27,-8.7802
2016-09-28,-3.1008
2016-09-29,-2.5333
2016-09-30,-2.5308
2016-10-03,4.4211
2016-10-04,0.4704
2016-10-05,-3.8127
2016-10-06,-1.1822
2016-10-07,5.4187
2016-10-10,-0.6676
2016-10-11,7.5269
2016-10-12,-0.3125
2016-10-13,1.6301
2016-10-14,1.9741
2016-10-17,0.4235
2016-10-18,4.3976
2016-10-19,0.1731
2016-10-20,-2.6498
2016-10-21,-1.2426
2016-10-24,-1.6777
2016-10-25,0.7313
2016-10-26,2.4198
2016-10-27,-0.0591
2016-10-28,-1.9504000000000001
2016-10-31,6.3291
2016-11-01,4.195
2016-11-02,0.2176
2016-11-03,0.76
2016-11-04,-1.347
2016-11-07,3.55
2016-11-08,3.5338000000000003
2016-11-09,-2.7509
