ticker,RIVU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-15,18.3333
2005-09-19,1.4085
2005-09-20,0.0
2005-09-21,0.0
2005-09-22,-8.3333
2005-09-26,0.303
2005-09-27,-3.3233
2005-09-28,-6.25
2005-09-29,0.0
2005-10-07,-6.6667
2005-10-10,-10.7143
2005-10-11,0.0
2005-10-13,0.0
2005-10-17,20.0
2005-10-18,8.3333
2005-11-07,0.0
2005-11-10,1.5385
2005-11-11,-1.5152
2005-11-29,-7.6923
2005-12-20,0.0
2005-12-21,0.0
2005-12-22,0.0
2005-12-23,0.0
2006-01-27,-8.3333
2006-02-07,0.3636
2006-02-28,-0.3623
2006-03-28,0.0
2006-03-29,-18.1818
2006-03-30,11.1111
2006-04-05,20.0
2006-04-10,-16.6667
2006-05-02,-30.0
2006-05-11,71.4286
2006-05-30,0.0
2006-06-20,-5.0
2006-06-21,0.0
2006-06-22,-12.2807
2006-06-23,-20.0
2006-06-26,22.5
2006-06-27,2.0408
2006-06-29,2.0
2006-06-30,13.7255
2006-07-03,1.7241
2006-07-06,-0.339
2006-07-13,-4.7619
2006-07-14,-10.7143
2006-07-17,4.4
2006-07-18,-0.3831
2006-07-20,0.0
2006-07-21,0.0
2006-07-25,-9.6154
2006-07-26,19.1489
2006-07-27,1.7856999999999998
2006-07-28,-1.4035
2006-07-31,0.0
2006-08-01,-2.1352
2006-08-02,-14.5455
2006-08-07,-38.2979
2006-08-08,0.0
2006-08-09,6.8966
2006-08-10,29.0323
2006-08-11,0.0
2006-08-14,0.0
2006-08-15,-12.5
2006-08-16,14.2857
2006-08-17,-10.0
2006-08-18,11.1111
2006-08-21,-2.5
2006-08-22,2.5641
2006-08-23,0.0
2006-08-24,0.0
2006-08-25,33.0
2006-08-28,-6.015
2006-08-29,-10.0
2006-08-30,8.8889
2006-08-31,4.4898
2006-09-01,1.5625
2006-09-05,22.3077
2006-09-06,-1.2579
2006-09-07,-10.828
2006-09-08,-7.1429
2006-09-11,-28.8462
2006-09-12,35.1351
2006-09-13,-16.0
2006-09-14,-7.1429
2006-09-15,-2.0513
2006-09-18,-8.377
2006-09-19,0.0
2006-09-20,8.5714
2006-09-21,0.0
2006-09-22,-7.8947
2006-09-25,-2.8571
2006-09-26,-11.7647
2006-09-27,10.0
2006-09-28,-3.6364
2006-09-29,-5.0314
2006-10-02,-20.5298
2006-10-03,41.6667
2006-10-04,13.5294
2006-10-05,3.6269
2006-10-09,-3.0
2006-10-10,-24.2268
