ticker,PPD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-06,11.1111
2020-02-07,3.0667
2020-02-10,3.1371
2020-02-11,3.0731
2020-02-12,-1.8862
2020-02-13,-1.2093
2020-02-14,-0.973
2020-02-18,-1.6165
2020-02-19,1.933
2020-02-20,-1.9912
2020-02-21,-0.4192
2020-02-24,-2.9145
2020-02-25,-5.1368
2020-02-26,1.301
2020-02-27,-0.8678
2020-02-28,-2.3810000000000002
2020-03-02,-3.3357
2020-03-03,2.0408
2020-03-04,4.0
2020-03-05,1.4336
2020-03-06,-1.4133
2020-03-09,-6.2587
2020-03-10,1.6412
2020-03-11,-5.4679
2020-03-12,-15.955
2020-03-13,6.2356
2020-03-16,-19.5217
2020-03-17,-3.4576000000000002
2020-03-18,-21.6564
2020-03-19,2.4286
2020-03-20,1.2551999999999999
2020-03-23,-3.4435000000000002
2020-03-24,13.6947
2020-03-25,9.7867
2020-03-26,13.7714
2020-03-27,-14.6158
2020-03-30,5.6471
2020-03-31,-0.8352
2020-04-01,-6.9062
2020-04-02,1.146
2020-04-03,0.1193
2020-04-06,12.6861
2020-04-07,4.9154
2020-04-08,4.8363
2020-04-09,11.4849
2020-04-13,-0.2586
2020-04-14,-0.1729
2020-04-15,-2.2511
2020-04-16,-2.5686
2020-04-17,1.1364
2020-04-20,2.7865
2020-04-21,-3.7167
2020-04-22,2.3161
2020-04-23,2.4412
2020-04-24,-2.4697
2020-04-27,-1.8214000000000001
2020-04-28,6.3347999999999995
2020-04-29,1.9149
2020-04-30,-0.2088
2020-05-01,-4.9372
2020-05-04,5.0616
2020-05-05,0.2095
2020-05-06,2.1321
2020-05-07,8.4323
2020-05-08,3.5863
2020-05-11,0.1822
2020-05-12,-2.0371
2020-05-13,-0.4085
2020-05-14,-2.3863
2020-05-15,5.0802
2020-05-18,0.3272
2020-05-19,-4.3841
2020-05-20,5.3429
2020-05-21,-0.5036
2020-05-22,-1.41
2020-05-26,-1.1001
2020-05-27,1.3719000000000001
2020-05-28,-1.1703999999999999
2020-05-29,0.8142
2020-06-01,3.047
2020-06-02,1.5675
2020-06-03,0.2806
2020-06-04,-2.2036
2020-06-05,-2.5393
2020-06-08,-1.5779999999999998
2020-06-09,-2.1999
2020-06-10,0.6862
2020-06-11,-4.5059000000000005
2020-06-12,1.705
2020-06-15,6.7446
2020-06-16,-1.9722
2020-06-17,1.155
2020-06-18,0.5525
2020-06-19,-1.4652
2020-06-22,-0.4089
2020-06-23,0.5599
2020-06-24,-1.8559999999999999
2020-06-25,1.0968
2020-06-26,-1.6087
2020-06-29,0.0
2020-06-30,1.9011
2020-07-01,-0.6716
2020-07-02,0.9767
2020-07-06,2.0461
2020-07-07,2.2603
2020-07-08,0.1783
2020-07-09,4.0569
2020-07-10,-0.513
2020-07-13,-3.3345000000000002
2020-07-14,0.889
2020-07-15,1.3747
2020-07-16,-0.5216
2020-07-17,5.2779
2020-07-20,0.2988
2020-07-21,2.0854
2020-07-22,3.5667999999999997
2020-07-23,-2.7865
2020-07-24,-4.1868
2020-07-27,-0.2689
2020-07-28,-2.2919
2020-07-29,0.0345
2020-07-30,0.7241
2020-07-31,0.5478
