ticker,GRWG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-14,25.2174
2016-11-15,2.7778
2016-11-16,-2.027
2016-11-17,2.069
2016-11-18,-3.7161999999999997
2016-11-21,-2.4561
2016-11-22,-16.5468
2016-11-23,27.1552
2016-11-25,-10.1695
2016-11-28,-3.7736
2016-11-29,-3.9215999999999998
2016-11-30,2.449
2016-12-01,10.757
2016-12-02,-2.8777
2016-12-05,0.0
2016-12-06,-3.7037
2016-12-07,1.9231
2016-12-08,-2.6414999999999997
2016-12-09,0.7752
2016-12-12,-3.8462
2016-12-13,-4.0
2016-12-14,-2.0833
2016-12-15,0.0
2016-12-16,0.0
2016-12-19,-4.2553
2016-12-20,-4.0
2016-12-21,5.0926
2016-12-22,0.4405
2016-12-23,-1.3158
2016-12-27,-3.1111
2016-12-28,3.211
2016-12-29,5.3333
2016-12-30,-0.8439
2017-01-03,3.8298
2017-01-04,-11.4754
2017-01-05,4.1667
2017-01-06,0.0
2017-01-09,0.8889
2017-01-10,-0.8811
2017-01-11,1.7778
2017-01-12,-4.3668
2017-01-13,-3.653
2017-01-17,5.2133
2017-01-18,0.0
2017-01-19,-3.1532
2017-01-20,13.0233
2017-01-23,-3.7037
2017-01-24,1.2821
2017-01-25,1.2658
2017-01-26,-2.0833
2017-01-27,0.4255
2017-01-30,5.0847
2017-01-31,-3.2258
2017-02-01,-0.8333
2017-02-02,-1.2605
2017-02-03,0.0
2017-02-06,-2.1277
2017-02-07,-0.4348
2017-02-08,2.6201
2017-02-09,-5.5319
2017-02-10,-2.9279
2017-02-13,5.8004999999999995
2017-02-14,-5.7018
2017-02-15,9.3023
2017-02-16,2.1277
2017-02-17,-4.1667
2017-02-21,3.2609
2017-02-22,1.8947
2017-02-23,-16.1157
2017-02-24,1.4778
2017-02-27,-2.9126
2017-02-28,-3.0
2017-03-01,0.0
2017-03-02,-0.5155
2017-03-03,-1.5544
2017-03-06,5.2632
2017-03-07,-5.0
2017-03-08,-2.1053
2017-03-09,1.0753
2017-03-10,-0.5319
2017-03-13,-10.6952
2017-03-14,13.1737
2017-03-15,-4.7619
2017-03-16,-1.6667
2017-03-17,0.0
2017-03-20,0.565
2017-03-21,-1.1236
2017-03-22,2.2727
2017-03-23,-1.1111
2017-03-24,6.7416
2017-03-27,2.8947000000000003
2017-03-28,-2.8133
2017-03-29,2.6316
2017-03-30,5.641
2017-03-31,-7.767
2017-04-03,12.6316
2017-04-04,-4.2056000000000004
2017-04-05,2.3902
