ticker,TPB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-11,955.6921
2016-05-12,1.2846
2016-05-13,5.8537
2016-05-16,6.9124
2016-05-17,2.931
2016-05-18,-1.4238
2016-05-19,-11.8097
2016-05-20,0.0
2016-05-23,2.0231
2016-05-24,-0.8499
2016-05-25,4.6667
2016-05-26,-1.0009
2016-05-27,-1.4706000000000001
2016-05-31,-4.291
2016-06-01,0.8772
2016-06-02,0.1932
2016-06-03,2.0251
2016-06-06,-8.4121
2016-06-07,-0.1032
2016-06-08,-3.0992
2016-06-09,-5.1173
2016-06-10,-7.0112
2016-06-13,-6.4766
2016-06-14,2.584
2016-06-15,-7.0529
2016-06-16,-1.897
2016-06-17,1.3812
2016-06-20,27.9292
2016-06-21,9.2652
2016-06-22,-1.9493
2016-06-23,-2.7833
2016-06-24,4.09
2016-06-27,-8.9391
2016-06-28,7.5512
2016-06-29,-0.3009
2016-06-30,3.3199
2016-07-01,-1.9474
2016-07-05,1.9861
2016-07-06,-1.85
2016-07-07,-0.9921
2016-07-08,1.1022
2016-07-11,2.6759
2016-07-12,0.0965
2016-07-13,0.3857
2016-07-14,0.0961
2016-07-15,5.0864
2016-07-18,6.21
2016-07-19,-4.5572
2016-07-20,-5.2252
2016-07-21,7.7947
2016-07-22,-1.7637
2016-07-25,0.8977
2016-07-26,0.089
2016-07-27,-0.3556
2016-07-28,-0.8029
2016-07-29,0.2698
2016-08-01,-3.4978
2016-08-02,0.3717
2016-08-03,-0.5556
2016-08-04,0.0
2016-08-05,1.0242
2016-08-08,0.0922
2016-08-09,0.5525
2016-08-10,-15.2015
2016-08-11,10.4752
2016-08-12,10.8504
2016-08-15,12.963
2016-08-16,-13.9735
2016-08-17,5.8984
2016-08-18,-0.2571
2016-08-19,-5.4124
2016-08-22,5.0863
2016-08-23,8.643
2016-08-24,2.6253
2016-08-25,0.2326
2016-08-26,1.3148
2016-08-29,-0.229
2016-08-30,-2.9839
2016-08-31,1.9716
2016-09-01,-1.0054
2016-09-02,2.2656
2016-09-06,10.2368
2016-09-07,1.9404
2016-09-08,8.6336
2016-09-09,-1.8773
2016-09-12,-2.6786
2016-09-13,-7.9948
2016-09-14,-7.9772
2016-09-15,4.1022
2016-09-16,-2.8253
2016-09-19,-0.0765
2016-09-20,1.8377
2016-09-21,1.8797000000000001
2016-09-22,2.5092
2016-09-23,-2.8798
2016-09-26,-4.5219000000000005
2016-09-27,-2.9503
2016-09-28,-2.8
2016-09-29,0.0823
