ticker,ASTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.6445
2000-01-04,-4.6263
2000-01-05,7.0896
2000-01-06,14.9826
2000-01-07,8.4848
2000-01-10,5.0279
2000-01-11,-0.3989
2000-01-12,0.8011
2000-01-13,8.3444
2000-01-14,-3.6675
2000-01-18,-6.599
2000-01-19,11.6848
2000-01-20,-3.8929
2000-01-21,-10.3797
2000-01-24,2.5423999999999998
2000-01-25,0.8264
2000-01-26,4.3716
2000-01-27,-0.5236
2000-01-28,-1.3158
2000-01-31,1.3333
2000-02-01,3.1579
2000-02-02,5.8673
2000-02-03,0.241
2000-02-04,6.7308
2000-02-07,-0.6757
2000-02-08,0.6803
2000-02-09,-1.1261
2000-02-10,2.2779
2000-02-11,0.0
2000-02-14,-1.5590000000000002
2000-02-15,-0.6787
2000-02-16,-8.4282
2000-02-17,8.209
2000-02-18,-4.3678
2000-02-22,3.6058
2000-02-23,-2.6682
2000-02-24,-0.5959
2000-02-25,0.2398
2000-02-28,0.0
2000-02-29,1.9139
2000-03-01,-2.3474
2000-03-02,-4.5673
2000-03-03,8.8161
2000-03-06,-5.5556
2000-03-07,2.2059
2000-03-08,-0.4796
2000-03-09,3.1325
2000-03-10,-6.0748
2000-03-13,0.4975
2000-03-14,-3.4653
2000-03-15,4.6154
2000-03-16,2.451
2000-03-17,0.9569
2000-03-20,-2.1327
2000-03-21,1.4527999999999999
2000-03-22,1.1933
2000-03-23,-1.8868
2000-03-24,0.4808
2000-03-27,-13.3971
2000-03-28,7.7348
2000-03-29,4.6154
2000-03-30,-3.4314
2000-03-31,7.868
2000-04-03,-0.2353
2000-04-04,-0.8255
2000-04-05,0.8323
2000-04-06,1.4151
2000-04-07,1.3953
2000-04-10,-1.3761
2000-04-11,2.3256
2000-04-12,1.1364
2000-04-13,0.2247
2000-04-14,-4.4843
2000-04-17,0.4695
2000-04-18,8.411200000000001
2000-04-19,3.0172
2000-04-20,-19.6653
2000-04-24,1.5625
2000-04-25,2.0513
2000-04-26,-0.7538
2000-04-27,-1.2658
2000-04-28,3.0769
2000-05-01,-1.7412999999999998
2000-05-02,0.2532
2000-05-03,-3.5354
2000-05-04,-0.5236
2000-05-05,1.5789
2000-05-08,-3.6269
2000-05-09,0.0
2000-05-10,-1.8817
2000-05-11,4.6575
2000-05-12,3.1414
2000-05-15,-2.5381
2000-05-16,7.2917
2000-05-17,-0.2427
2000-05-18,-3.6496
2000-05-19,-3.5354
2000-05-22,5.2356
