ticker,NRGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-30,1.0
2019-01-31,-0.495
2019-02-01,0.0
2019-02-04,0.2488
2019-02-05,0.0
2019-02-06,1.8362
2019-02-07,0.5361
2019-02-08,0.5817
2019-02-11,-0.0482
2019-02-12,-0.2411
2019-02-13,1.015
2019-02-14,0.0
2019-02-15,0.1196
2019-02-19,1.5532
2019-02-20,-0.4706
2019-02-21,-0.5201
2019-02-22,-0.0951
2019-02-25,0.3806
2019-02-26,0.0474
2019-02-27,0.2369
2019-02-28,1.2287
2019-03-01,-3.5481
2019-03-04,-0.0484
2019-03-05,-0.4843
2019-03-06,-1.2165
2019-03-07,-0.9852
2019-03-08,2.0398
2019-03-11,0.1463
2019-03-12,-0.3895
2019-03-13,0.5376
2019-03-14,-0.5834
2019-03-15,-0.978
2019-03-18,1.1358
2019-03-19,-0.7324
2019-03-20,0.0984
2019-03-21,0.1966
2019-03-22,0.049
2019-03-25,-0.0005
2019-03-26,0.0005
2019-03-27,0.0
2019-03-28,0.2451
2019-03-29,0.0978
2019-04-01,0.8837
2019-04-02,-0.2433
2019-04-03,1.7073
2019-04-04,-0.7194
2019-04-05,-0.2415
2019-04-08,0.7748
2019-04-09,-0.8169
2019-04-10,0.1453
2019-04-11,0.387
2019-04-12,0.0482
2019-04-15,-0.5299
2019-04-16,0.5811
2019-04-17,-0.7703
2019-04-18,-0.2911
2019-04-22,1.8491
2019-04-23,0.86
2019-04-24,-0.4737
2019-04-25,-1.2375
2019-04-26,-0.0482
2019-04-29,0.4822
2019-04-30,0.048
2019-05-01,0.4317
2019-05-02,-1.2894
2019-05-03,0.6289
2019-05-06,-1.9231
2019-05-07,0.0
2019-05-08,0.6863
2019-05-09,-1.1198
2019-05-10,0.7878
2019-05-13,-1.0259
2019-05-14,1.234
2019-05-15,0.6826
2019-05-16,-0.4358
2019-05-17,-0.2432
2019-05-20,0.8776
2019-05-21,0.0483
2019-05-22,-1.0628
2019-05-23,-1.9043
2019-05-24,1.2942
2019-05-28,0.7371
2019-05-29,-1.2195
2019-05-30,-0.7407
2019-05-31,-3.7811
2019-06-03,3.7746
2019-06-04,1.6442
2019-06-05,-2.3039
2019-06-06,0.853
2019-06-07,-0.6965
2019-06-10,2.6052
2019-06-11,-0.3418
2019-06-12,-1.7638
2019-06-13,1.5267
2019-06-14,-0.7519
2019-06-17,-0.1515
2019-06-18,0.3035
2019-06-19,-0.706
2019-06-20,-0.1016
2019-06-21,-0.2542
