ticker,RCHN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-01,0.0
2005-07-05,20.0
2005-07-08,0.0
2005-07-13,16.6667
2005-07-14,14.2857
2005-07-15,0.0
2005-07-18,0.0
2005-07-19,4.1667
2005-07-20,0.0
2005-07-22,-20.0
2005-07-25,0.0
2005-07-26,25.0
2005-07-28,-40.0
2005-07-29,-13.3333
2005-08-09,1.5385
2005-08-10,-9.0909
2005-08-12,-8.3333
2005-08-16,-9.0909
2005-08-17,-10.0
2005-08-18,66.6667
2005-08-22,0.0
2005-08-23,0.0
2005-08-24,0.0
2005-09-15,-33.3333
2005-09-20,50.0
2005-09-23,0.0
2005-09-26,0.0
2005-09-27,26.6667
2005-09-28,21.0526
2005-09-29,0.0
2005-09-30,8.6957
2005-10-03,-8.0
2005-10-04,0.0
2005-10-05,4.3478
2005-10-06,-33.3333
2005-10-07,50.0
2005-10-10,-16.6667
2005-10-17,-35.0
2005-10-18,23.0769
2005-10-20,-12.5
2005-10-21,-7.1429
2005-10-31,-15.3846
2005-11-01,-9.0909
2005-11-10,0.0
2005-11-11,0.0
2005-11-16,-10.0
2005-12-02,0.0
2005-12-14,-11.1111
2005-12-29,-10.0
2006-01-06,94.4444
2006-02-10,-4.2857
2006-03-07,-99.972
2006-03-08,319900.0
2006-03-13,15.0
2006-03-29,0.0
2006-04-21,0.0
2006-05-08,-5.7971
2006-05-10,0.0
2006-05-22,-97.3846
2006-05-23,3605.8824
2006-05-31,-97.619
2006-06-08,4233.3333
2006-06-27,0.0
2006-06-28,-7.6923
2006-06-29,3.3333
2006-06-30,-1.6129
2006-07-05,-1.6393
2006-07-10,-91.6667
2006-07-11,1140.0
2006-07-12,1.6129
2006-07-13,-92.0635
2006-07-14,860.0
2006-07-17,20.8333
2006-07-18,10.3448
2006-07-19,-14.0625
2006-07-20,5.4545
2006-07-21,8.6207
2006-07-24,-23.8095
2006-07-25,20.8333
2006-07-26,3.4483
2006-07-27,6.6667
2006-07-28,1.5625
2006-07-31,-1.5385
2006-08-01,-6.25
2006-08-02,-20.0
2006-08-03,2.0833
2006-08-04,-18.3673
2006-08-07,-8.75
2006-08-08,9.589
2006-08-09,-17.5
2006-08-10,-9.0909
2006-08-11,10.0
2006-08-14,-5.7576
2006-08-15,18.9711
2006-08-16,37.8378
2006-08-17,7.8431
2006-08-18,-18.1818
2006-08-21,-8.8889
2006-08-22,11.9512
2006-08-23,-10.6754
2006-08-24,12.1951
2006-08-25,0.0
2006-08-28,-10.8696
