ticker,MD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.7856999999999998
2000-01-04,0.8772
2000-01-05,10.4348
2000-01-06,18.8976
2000-01-07,13.245
2000-01-10,-5.2632
2000-01-11,-3.7037
2000-01-12,-0.641
2000-01-13,7.0968
2000-01-14,-2.4096
2000-01-18,0.0
2000-01-19,-1.8519
2000-01-20,-8.1761
2000-01-21,1.3699
2000-01-24,12.8378
2000-01-25,-6.5868
2000-01-26,-1.2821
2000-01-27,-1.2987
2000-01-28,-2.6316
2000-01-31,-1.3514
2000-02-01,0.6849
2000-02-02,0.6803
2000-02-03,2.7027
2000-02-04,-2.6316
2000-02-07,-1.3514
2000-02-08,3.4247
2000-02-09,7.947
2000-02-10,-10.4294
2000-02-11,-4.7945
2000-02-14,-4.3165
2000-02-15,-2.2556
2000-02-16,0.0
2000-02-17,2.3077
2000-02-18,-2.2556
2000-02-22,-3.0769
2000-02-23,-2.3810000000000002
2000-02-24,-8.1301
2000-02-25,1.7699
2000-02-28,6.087
2000-02-29,3.2787
2000-03-01,15.0794
2000-03-02,-2.069
2000-03-03,-3.5211
2000-03-06,-6.5693
2000-03-07,-3.125
2000-03-08,-1.6129
2000-03-09,0.0
2000-03-10,4.918
2000-03-13,-5.4688
2000-03-14,-0.8264
2000-03-15,-0.8333
2000-03-16,-0.8403
2000-03-17,5.0847
2000-03-20,-3.2258
2000-03-21,-1.6667
2000-03-22,0.8475
2000-03-23,-0.8403
2000-03-24,0.8475
2000-03-27,-0.8403
2000-03-28,-2.5423999999999998
2000-03-29,-1.7391
2000-03-30,0.885
2000-03-31,1.7544
2000-04-03,-1.7241
2000-04-04,0.0
2000-04-05,7.8947
2000-04-06,4.878
2000-04-07,5.4264
2000-04-10,0.7353
2000-04-11,3.6496
2000-04-12,5.6338
2000-04-13,-9.3333
2000-04-14,-11.0294
2000-04-17,2.4793
2000-04-18,1.6129
2000-04-19,0.0
2000-04-20,-4.7619
2000-04-24,-2.5
2000-04-25,-0.8547
2000-04-26,1.7241
2000-04-27,16.1017
2000-04-28,-3.6496
2000-05-01,-2.2727
2000-05-02,-1.5504
2000-05-03,2.3622
2000-05-04,0.0
2000-05-05,-3.0769
2000-05-08,-3.1746
2000-05-09,-4.0984
2000-05-10,-7.6923
2000-05-11,1.8519
2000-05-12,2.7273
2000-05-15,0.885
2000-05-16,5.2632
2000-05-17,-7.5
2000-05-18,4.5045
2000-05-19,-3.4483
2000-05-22,0.8929
2000-05-23,-2.6549
