ticker,HWIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-29,0.008
2019-11-14,0.0
2019-11-15,60.0
2019-12-10,-22.5
2019-12-30,-3.2258
2020-01-08,16.6667
2020-01-24,14.2857
2020-02-28,25.0
2020-03-12,10.0
2020-03-20,18.1818
2020-04-01,30.7692
2020-04-02,-23.5294
2020-04-03,23.0769
2020-04-06,0.0
2020-04-17,12.5
2020-04-20,0.0
2020-04-22,5.5556
2020-04-23,4.2105
2020-04-24,1.0101
2020-04-28,-5.0
2020-04-29,5.2632
2020-04-30,15.0
2020-05-01,0.0
2020-05-05,4.3478
2020-05-08,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,4.1667
2020-05-20,0.0
2020-05-27,4.0
2020-05-29,0.0
2020-06-04,-3.8462
2020-06-09,0.0
2020-06-10,19.6
2020-06-15,6.8896
2020-06-17,18.8986
2020-06-22,-13.1579
2020-06-25,0.0
2020-06-26,9.0909
2020-06-29,-2.7778
2020-07-02,2.2857
2020-07-07,0.5587
2020-07-09,0.0
2020-07-10,0.0
2020-07-23,5.5556
