ticker,CNBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-20,30.0
2007-03-08,43.0063
2007-03-09,4.3796
2009-09-24,-32.2368
2009-09-29,8.7379
2010-12-21,-49.8871
2011-02-10,-4.0541
2011-02-18,-2.8169
2011-03-04,0.0
2011-03-07,0.0
2011-03-18,-2.3188
2012-06-11,-1.7409
2012-10-23,-0.3624
2012-11-06,-0.2425
2012-12-31,-5.327
2013-01-18,-2.129
2013-01-22,0.0
2013-01-28,-1.4428
2014-02-14,3.4483
2014-02-19,-2.7556000000000003
2014-02-21,2.8336
2014-02-24,-2.2222
2014-03-04,2.2727
2014-04-08,11.1111
2014-05-08,6.0
2014-06-30,-2.0755
2014-08-11,-3.4297
2014-08-26,-1.1373
2014-09-12,2.9263
2014-09-26,-4.4118
2014-10-08,2.5641
2014-10-09,2.0
2014-10-10,0.4902
2014-11-04,-1.2293
2015-02-18,0.0
2015-03-03,1.2761
2015-03-18,0.5
2015-09-23,-0.995
2015-10-13,-0.1005
2015-10-19,0.6036
2015-10-21,0.0
2015-11-05,8.0
2016-01-05,4.7619
2016-03-01,9.0909
2016-03-17,-5.0
2016-03-18,1.7544
2016-05-17,0.0
2016-06-27,4.4828
2016-06-28,0.6599
2016-07-13,1.6393
2016-07-22,-0.0159
2016-08-03,0.0161
2016-08-04,1.2097
2016-09-02,0.0
2016-10-12,0.3984
2016-12-15,0.0
2016-12-16,3.1746
2016-12-19,0.0
2016-12-21,4.2308
2017-05-03,0.0
2017-05-08,0.0
2017-06-14,3.4091
2017-06-15,-3.2967
2017-07-14,7.5758
2017-08-08,-4.2113
2017-10-19,0.7205
2017-11-13,6.5693
2018-01-30,-2.3944
2018-02-09,5.3391
2018-02-22,2.7397
2018-02-23,1.3333
2018-03-06,3.9474
2018-03-27,-7.5949
2018-10-24,9.9315
2018-11-26,-5.296
2018-12-17,1.3158
2018-12-27,0.0
2019-01-14,0.0
2019-02-01,3.2215
2019-03-08,-3.1209
2019-06-28,0.7517
2019-08-01,0.453
2019-09-17,6.1008
2019-09-20,3.75
2019-09-25,0.0
2019-10-01,-2.4096
2019-10-28,0.3704
2019-10-29,3.321
2020-01-13,6.1415
2020-03-09,-2.5974
2020-03-10,-4.7619
2020-03-16,-6.25
2020-03-18,0.0
2020-04-01,-16.6667
