ticker,WINR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-10,0.3061
2017-10-11,0.4069
2017-10-12,0.0
2017-10-13,-0.304
2017-10-16,-0.1016
2017-10-17,0.0
2017-10-19,0.1017
2017-10-20,0.1006
2017-10-23,-0.1289
2017-10-25,0.1301
2017-10-26,-0.1015
2017-10-27,0.1006
2017-10-31,0.0396
2017-11-01,-0.0386
2017-11-02,-0.3046
2017-11-06,0.611
2017-11-07,0.1012
2017-11-08,-0.1011
2017-11-13,0.2024
2017-11-14,-0.5051
2017-11-16,0.4061
2017-11-17,0.4044
2017-11-20,-0.8056
2017-11-21,0.1015
2017-11-22,-0.1014
2017-11-27,1.3188
2017-11-28,-0.5
2017-11-29,0.0
2017-12-01,-0.2769
2017-12-04,-0.2272
2017-12-11,0.2024
2017-12-12,0.0
2017-12-13,0.5051
2017-12-15,-0.201
2017-12-19,-0.1007
2017-12-21,-0.6048
2017-12-22,-0.6085
2017-12-28,0.7143
2018-01-17,-0.2026
2018-01-30,0.001
2018-02-02,0.1005
2018-02-12,0.0
2018-02-13,0.9128
2018-02-14,-0.206
2018-02-21,0.9578
2018-02-22,-0.5447
2018-02-26,-0.8907
2018-02-28,-0.1488
2018-03-02,0.3395
2018-03-06,0.0
2018-03-07,0.5051
2018-03-08,-0.201
2018-03-15,1.7109999999999999
2018-03-16,-1.4842
2018-03-19,-0.5025
2018-03-21,0.7071
2018-03-22,-0.3009
2018-04-16,0.6036
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.2
2018-04-20,0.0
2018-04-24,0.1986
2018-04-25,0.4034
2018-04-26,-0.5
2018-05-01,0.015
2018-05-02,-0.015
2018-05-03,0.0
2018-05-04,0.3988
2018-05-07,0.0
2018-05-08,4.4906
2018-05-09,-4.0125
2018-05-10,0.0
2018-05-11,-0.297
2018-05-14,0.2979
2018-05-15,-0.099
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,0.0
2018-05-23,0.0
2018-05-24,-0.1982
2018-05-30,0.0
2018-05-31,-0.0993
2018-06-01,-0.5964
2018-06-04,0.6
2018-06-05,1.0934
2018-06-12,-0.2419
2018-06-15,-0.1518
2018-06-18,-0.0987
2018-06-19,-0.3953
2018-06-26,-0.0992
2018-06-27,-0.1986
2018-06-29,7.5622
2018-07-02,-7.0305
2018-07-06,7.4627
2018-07-10,-6.5741
2018-07-12,0.0991
2018-07-13,-2.3762
2018-07-16,3.4483
2018-07-18,-0.5167
