ticker,RNET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-15,4.5833
2010-12-16,0.3984
2010-12-17,1.1905000000000001
2010-12-20,2.3529
2010-12-21,4.9808
2010-12-22,-2.7737
2010-12-23,0.6757
2010-12-27,0.2237
2010-12-28,-1.4137
2010-12-29,2.6414999999999997
2010-12-30,-0.7721
2010-12-31,1.0004
2011-01-03,6.383
2011-01-04,-1.7241
2011-01-05,-0.3509
2011-01-06,-0.7042
2011-01-07,0.7801
2011-01-10,1.9001000000000001
2011-01-11,0.6906
2011-01-12,-1.5775000000000001
2011-01-13,1.0453
2011-01-14,-0.2759
2011-01-18,-0.6916
2011-01-19,0.766
2011-01-20,-2.2737
2011-01-21,0.2051
2011-01-24,-3.2463
2011-01-25,-3.574
2011-01-26,2.3449
2011-01-27,-1.4043
2011-01-28,0.7496
2011-01-31,2.3064999999999998
2011-02-01,4.0
2011-02-02,0.0
2011-02-03,0.979
2011-02-04,-3.2548
2011-02-07,5.3686
2011-02-08,1.9022000000000001
2011-02-09,-0.9333
2011-02-10,-0.9421
2011-02-11,6.3179
2011-02-14,-1.278
2011-02-15,-2.4272
2011-02-16,-0.5638
2011-02-17,-0.5337
2011-02-18,0.1341
2011-02-22,-2.0764
2011-02-23,0.5472
2011-02-24,0.5782
2011-02-25,-0.3044
2011-02-28,-0.2714
2011-03-01,-0.6803
2011-03-02,-0.6164
2011-03-03,0.5513
2011-03-04,1.2337
2011-03-07,6.0934
2011-03-08,13.5929
2011-03-09,1.1798
2011-03-10,-3.7202
2011-03-11,-1.9607999999999999
2011-03-14,0.4118
2011-03-15,1.9332
2011-03-16,-0.4023
2011-03-17,3.3468
2011-03-18,1.5634000000000001
2011-03-21,0.3299
2011-03-22,0.3288
2011-03-23,0.3277
2011-03-24,0.0
2011-03-25,1.252
2011-03-28,0.2151
2011-03-29,-2.1996
2011-03-30,3.2364
2011-03-31,-3.4006
2011-04-01,3.1353
2011-04-04,-0.32
2011-04-05,-0.535
2011-04-06,2.851
2011-04-07,1.1506
2011-04-08,-2.0165
2011-04-11,-1.5303
2011-04-12,-3.8049
2011-04-13,-3.1755
2011-04-14,6.0414
2011-04-15,8.4102
2011-04-18,-1.1011
2011-04-19,-4.1498
2011-04-20,-0.8448
2011-04-21,1.0117
2011-04-25,2.1086
2011-04-26,2.6846
2011-04-27,0.9553
2011-04-28,-1.5936
2011-04-29,-1.8218999999999999
2011-05-02,1.0309
2011-05-03,-6.1735
2011-05-04,-1.3051
