ticker,PWLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-25,-95.0
2000-06-14,2300.0
2000-07-12,-95.0
2000-07-19,1233.3333
2000-07-27,-50.0
2000-08-03,1.0
2000-08-04,197.0297
2000-10-06,-66.6667
2000-12-29,175.0
2001-01-09,-36.3636
2001-01-10,-21.4286
2001-05-04,-81.8182
2001-05-23,-80.0
2001-05-29,-60.0
2001-05-30,0.0
2001-06-01,50.0
2001-06-15,-33.3333
2001-06-18,0.0
2001-10-31,-75.0
2002-06-26,410.0
2002-06-27,0.0
2002-07-16,0.0
2002-07-18,47.0588
2002-07-22,34.6667
2002-07-25,98.0198
2002-07-30,0.0
2002-08-01,25.0
2002-08-08,-40.0
2002-08-15,0.0
2002-08-20,33.3333
2002-08-26,0.0
2002-08-27,0.0
2002-09-03,37.5
2002-09-19,-36.3636
2002-09-25,42.8571
2002-09-26,10.0
2002-10-09,-18.1818
2002-10-21,22.2222
2002-10-22,3.6364
2002-10-28,5.2632
2002-10-31,0.0
2002-11-18,0.0
2003-01-24,-16.6667
2003-01-30,40.0
2003-01-31,-28.5714
2003-02-07,0.0
2003-02-10,20.0
2003-02-28,-16.6667
2003-03-04,20.0
2003-03-06,-16.6667
2003-04-02,-32.0
2003-04-03,-11.7647
2003-05-14,-83.3333
2003-06-04,304.0
2003-06-05,0.0
2003-06-18,-35.6436
2003-06-27,15.3846
2003-07-01,20.0
2003-07-07,0.0
2003-07-18,0.0
2003-07-24,-27.7778
2003-07-28,46.1538
2003-08-15,0.0
2003-08-20,0.0
2003-09-11,-73.6842
2003-09-15,280.0
2003-09-29,0.0
2003-09-30,26.3158
2003-11-17,-54.1667
2003-12-16,60.0
2003-12-29,36.3636
2003-12-30,0.0
2003-12-31,0.0
2004-01-13,0.0
2004-03-16,25.0
2004-07-07,-32.6667
2004-11-15,-25.7426
2004-12-10,0.0
2005-01-05,-26.6667
2005-05-05,0.0
2005-06-24,-27.2727
2005-07-08,-12.5
2005-07-12,-22.8571
2005-07-13,29.6296
2005-08-29,-16.6667
2005-11-21,0.0
2006-01-19,-34.2857
2006-01-20,-2.1739
2006-01-27,-51.1111
2006-02-02,104.5455
2006-03-02,-33.3333
2006-03-08,-32.6667
2006-03-23,88.1188
2006-05-10,-45.7895
2006-05-11,1.9417
2006-05-15,-0.9524
2006-05-16,5.7692
2006-05-17,9.0909
2006-05-18,25.0
2006-05-19,11.3333
2006-05-22,11.975999999999999
2006-05-23,-9.0909
2006-05-24,-35.2941
