ticker,LSAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-29,14.3316
2020-06-02,-10.1029
2020-06-10,1.1675
2020-06-11,0.2859
2020-06-12,-1.0256
2020-06-15,1.0363
2020-06-16,-0.1026
2020-06-18,9.6509
2020-06-22,-6.8352
2020-06-23,0.0
2020-06-29,0.1005
2020-07-01,1.6536
2020-07-02,-1.3304
2020-07-06,-0.007
2020-07-08,1.1082
2020-07-09,-1.1594
2020-07-10,1.173
2020-07-13,0.9901
2020-07-14,-0.9804
2020-07-15,0.198
2020-07-20,-0.7905
2020-07-21,0.1992
2020-07-22,1.4910999999999999
2020-07-23,-4.0157
2020-07-24,2.2449
2020-07-27,-0.1996
2020-07-30,1.35
