ticker,VBVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-18,7.0588
2016-02-19,9.8901
2016-02-22,7.5
2016-02-23,2.3256
2016-02-24,-0.4545
2016-02-25,2.7397
2016-02-26,6.6667
2016-02-29,7.9167
2016-03-01,3.8609999999999998
2016-03-02,1.1152
2016-03-03,1.1029
2016-03-04,4.7273
2016-03-07,2.7778
2016-03-08,3.0405
2016-03-09,1.6393
2016-03-10,1.6129
2016-03-11,1.9048
2016-03-14,2.8037
2016-03-15,1.2121
2016-03-16,1.4969999999999999
2016-03-17,2.0649
2016-03-18,1.7341
2016-03-21,2.5568
2016-03-22,2.4931
2016-03-23,2.1622
2016-03-24,3.1746
2016-03-28,3.0769
2016-03-29,2.2388
2016-03-30,1.2165
2016-03-31,1.6827
2016-04-01,2.1277
2016-04-04,2.3148
2016-04-05,1.81
2016-04-06,2.2222
2016-04-07,-1.5217
2016-04-08,6.8433
2016-04-11,19.8347
2016-04-12,12.4138
2016-04-13,1.227
2016-04-14,6.0606
2016-04-15,1.0964
2016-04-18,-59.5648
2016-04-19,-58.0465
2016-04-20,-50.0208
2016-04-21,66.6667
2016-04-22,-14.15
2016-04-25,-1.8346
2016-04-26,-14.5654
2016-04-27,0.0
2016-04-28,8.125
2016-04-29,7.8998
2016-05-02,28.5714
2016-05-03,-7.4074
2016-05-04,0.0
2016-05-05,-16.0
2016-05-09,-19.0476
2016-05-10,5.8824
2016-05-11,-11.1111
2016-05-12,18.75
2016-05-13,15.7895
2016-05-16,4.5455
2016-05-17,-17.3913
2016-05-18,-21.0526
2016-05-19,33.3333
2016-05-20,-7.5
2016-05-23,-12.2973
2016-05-24,23.3436
2016-05-25,-10.0562
2016-05-26,26.0417
2016-05-27,1.3774
2016-05-31,-2.1739
2016-06-01,-11.1111
2016-06-02,-6.3438
2016-06-03,1.4348
2016-06-06,5.2632
2016-06-07,-5.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-13,5.2632
2016-06-14,-10.0
2016-06-15,11.1111
2016-06-16,-19.75
2016-06-17,-0.3115
2016-06-21,50.0
2016-06-22,-4.1667
2016-06-23,-26.087
2016-06-27,2.7206
2016-06-28,-2.577
2016-06-29,17.5606
2016-06-30,-45.0
2016-07-01,0.0
2016-07-05,0.0
2016-07-06,-54.5455
2016-07-07,40.0
2016-07-08,0.0
2016-07-11,0.0
2016-07-15,-28.5714
2016-07-18,-20.25
2016-07-19,0.3135
2016-07-20,0.0
2016-07-21,0.0
