ticker,HYWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-30,11.7647
2006-01-23,-10.526299999999999
2006-02-09,0.0
2006-03-09,-64.7059
2006-03-13,166.0
2006-03-14,-69.9248
2006-03-15,0.0
2006-03-16,25.0
2006-03-17,-3.3333
2006-03-20,175.1724
2006-03-23,14.0351
2006-03-28,-61.5385
2006-04-03,-37.1429
2006-04-05,4.5455
2006-04-06,160.8696
2006-04-11,3.3333
2006-04-21,-4.8387
2006-04-28,-49.1525
2006-05-08,0.0
2006-05-09,-60.0
2006-05-11,233.3333
2006-05-22,-41.0
2006-05-24,1.6949
2006-05-25,2.5
2006-05-26,5.6911000000000005
2006-05-30,2.3077
2006-05-31,2.2556
2006-06-01,-5.1471
2006-06-02,-4.6512
2006-06-05,-43.0894
2006-06-06,44.2857
2006-06-07,-2.9703
2006-06-08,-3.0612
2006-06-09,0.0
2006-06-12,6.8421
2006-06-13,-6.4039
2006-06-14,-5.2632
2006-06-15,-11.1111
2006-06-16,-7.5
2006-06-19,2.7027
2006-06-20,-19.7368
2006-06-21,-4.918
2006-06-22,20.6897
2006-06-23,-7.1429
2006-06-26,-15.3846
2006-06-27,18.1818
2006-06-28,-7.6923
2006-06-29,-3.3333
2006-06-30,0.0
2006-07-03,15.5172
2006-07-05,-13.4328
2006-07-06,6.8966
2006-07-07,-4.8387
2006-07-10,-0.1695
2006-07-11,1.8676
2006-07-12,-23.3333
2006-07-13,0.0
2006-07-14,-15.2174
2006-07-17,10.2564
2006-07-18,-6.9767
2006-07-19,-2.5
2006-07-20,-5.1282
2006-07-21,-8.1081
2006-07-24,-17.647100000000002
2006-07-25,-3.5714
2006-07-26,40.7407
2006-07-27,-33.9474
2006-07-28,-4.3825
2006-07-31,0.0
2006-08-01,33.3333
2006-08-02,-21.875
2006-08-03,-4.0
2006-08-04,-25.0
2006-08-07,22.2222
2006-08-08,9.0909
2006-08-09,-4.1667
2006-08-10,0.0
2006-08-11,-17.3913
2006-08-14,5.2632
2006-08-15,-16.0
2006-08-16,-4.7619
2006-08-17,6.25
2006-08-18,2.9412000000000003
2006-08-21,-14.2857
2006-08-22,13.3333
2006-08-23,-11.7647
2006-08-24,-26.6667
2006-08-25,18.1818
2006-08-28,38.4615
2006-08-29,0.0
2006-08-30,0.0
2006-08-31,0.0
2006-09-01,-16.6667
2006-09-05,-20.0
2006-09-06,0.0
2006-09-07,50.0
2006-09-08,-38.8889
2006-09-11,63.6364
2006-09-12,0.0
2006-09-13,-16.6667
