ticker,AIDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-29,-16.6667
2005-09-30,-10.0
2005-10-05,-11.1111
2005-10-14,-12.5
2005-10-21,0.0
2005-10-25,-14.2857
2005-11-07,-33.3333
2005-11-11,50.0
2005-11-29,-43.3333
2005-12-16,32.5855
2005-12-19,27.5862
2006-02-27,2.7027
2006-03-06,5.2632
2006-03-07,-5.0
2006-03-14,-21.0526
2006-04-17,18.6667
2006-04-18,6.7416
2006-04-19,2.1053
2006-04-20,0.0
2006-04-28,0.0
2006-05-01,3.0928
2006-05-02,-2.0
2006-05-05,-20.9184
2006-05-09,12.9032
2006-05-10,-8.0
2006-05-11,-6.8323
2006-05-12,-3.3333
2006-05-15,-10.3448
2006-05-16,0.0
2006-05-17,3.8462
2006-05-18,-3.7037
2006-05-19,-3.8462
2006-05-22,4.0
2006-05-24,-3.8462
2006-05-25,-4.0
2006-05-26,-8.3333
2006-05-30,0.0
2006-05-31,0.0
2006-06-02,0.0
2006-06-07,-8.1818
2006-06-08,0.0
2006-06-09,6.9307
2006-06-12,-1.8519
2006-06-13,0.0
2006-06-15,1.8868
2006-06-16,1.8519
2006-06-19,-3.6364
2006-06-20,1.8868
2006-06-22,-0.9259
2006-06-23,3.7382999999999997
2006-06-28,-2.7027
2006-06-30,-3.7037
2006-07-03,1.9231
2006-07-05,0.0
2006-07-06,-2.8302
2006-07-07,-1.9417
2006-07-10,-5.9406
2006-07-11,-26.3158
2006-07-12,15.7143
2006-07-13,4.9383
2006-07-14,5.8824
2006-07-17,14.4444
2006-07-18,0.0
2006-07-19,0.0
2006-07-20,-2.9126
2006-07-21,3.0
2006-07-24,0.0
2006-07-25,-2.9126
2006-07-26,-3.0
2006-07-27,5.1546
2006-07-28,0.9804
2006-07-31,0.0
2006-08-01,1.9417
2006-08-02,-2.8571
2006-08-03,0.0
2006-08-04,0.0
2006-08-07,-8.8235
2006-08-08,11.828
2006-08-09,-0.9615
2006-08-10,0.9709
2006-08-11,-2.8846
2006-08-14,2.9703
2006-08-15,8.6538
2006-08-16,-2.6549
2006-08-17,-0.9091
2006-08-18,-5.5046
2006-08-21,-0.9709
2006-08-22,2.9412000000000003
2006-08-23,9.5238
2006-08-24,10.4348
2006-08-25,10.2362
2006-08-28,-4.2857
2006-08-29,-6.7164
2006-08-30,0.0
2006-08-31,1.6
2006-09-05,-0.7874
2006-09-06,-0.7937
2006-09-07,11.2
2006-09-08,-6.4748
2006-09-11,-0.7692
2006-09-12,-1.5504
