ticker,ANVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-29,59.8333
2020-01-30,-26.903
2020-01-31,-6.99
2020-02-03,11.1963
2020-02-04,-15.5862
2020-02-05,-1.634
2020-02-06,2.3256
2020-02-07,-9.2532
2020-02-10,-6.0823
2020-02-11,-0.5714
2020-02-12,8.2375
2020-02-13,9.7345
2020-02-14,8.871
2020-02-18,-9.7778
2020-02-19,-3.6125
2020-02-20,2.2147
2020-02-21,-4.0
2020-02-24,-6.5972
2020-02-25,0.7435
2020-02-26,-11.6236
2020-02-27,3.9666
2020-02-28,-2.6104000000000003
2020-03-02,6.5979
2020-03-03,5.2224
2020-03-04,-7.5368
2020-03-05,1.1928
2020-03-06,-7.2692
2020-03-09,-6.9915
2020-03-10,-0.795
2020-03-11,-3.5613
2020-03-12,-15.0
2020-03-13,11.7647
2020-03-16,-16.9424
2020-03-17,-3.44
2020-03-18,-10.625
2020-03-19,-6.993
2020-03-20,5.2632
2020-03-23,-1.7856999999999998
2020-03-24,24.0
2020-03-25,4.1056
2020-03-26,2.2535
2020-03-27,-2.2039
2020-03-30,-3.0986
2020-03-31,-12.7907
2020-04-01,6.3333
2020-04-02,-21.6301
2020-04-03,22.8
2020-04-06,-8.1433
2020-04-07,4.6099
2020-04-08,6.1017
2020-04-09,0.0
2020-04-13,-6.3898
2020-04-14,5.802
2020-04-15,22.5806
2020-04-16,-2.6316
2020-04-17,2.7027
2020-04-20,-1.3158
2020-04-21,1.3333
2020-04-22,2.1053
2020-04-23,0.2577
2020-04-24,0.0
2020-04-27,0.7712
2020-04-28,-3.0612
2020-04-29,-3.8158
2020-04-30,5.3352
2020-05-01,-3.8961
2020-05-04,-1.3514
2020-05-05,-0.8219
2020-05-06,1.3812
2020-05-07,-2.9973
2020-05-08,-0.5618
2020-05-11,3.1073
2020-05-12,-1.0959
2020-05-13,0.277
2020-05-14,-4.6961
2020-05-15,3.4783
2020-05-18,35.014
2020-05-19,-1.4523
2020-05-20,-5.0526
2020-05-21,1.1086
2020-05-22,1.0965
2020-05-26,-3.2538
2020-05-27,7.8475
2020-05-28,-8.5239
2020-05-29,0.9068
2020-06-01,-0.6734
2020-06-02,1.5396999999999998
2020-06-03,-0.8464
2020-06-04,0.2275
2020-06-05,19.5479
2020-06-08,3.0075
2020-06-09,-2.3723
2020-06-10,-8.411200000000001
2020-06-11,-9.5918
2020-06-12,1.5800999999999998
2020-06-15,-0.6667
2020-06-16,26.1745
2020-06-17,-11.3475
2020-06-18,6.2
2020-06-19,-9.6045
2020-06-22,3.125
2020-06-23,3.2323
2020-06-24,-1.3699
2020-06-25,-2.9762
2020-06-26,-4.2945
2020-06-29,0.4274
2020-06-30,-7.4468
2020-07-01,0.9195
2020-07-02,-2.0501
2020-07-06,-10.6977
2020-07-07,76.5625
2020-07-08,-0.7375
2020-07-09,-13.373
2020-07-10,3.6021
2020-07-13,-8.6093
2020-07-14,3.442
2020-07-15,4.028
2020-07-16,1.8519
2020-07-17,0.9917
2020-07-20,0.6547
2020-07-21,7.3171
2020-07-22,-1.5152
2020-07-23,-5.2308
2020-07-24,-3.4091
2020-07-27,-2.3529
2020-07-28,1.0327
2020-07-29,-0.3407
2020-07-30,-1.8803
2020-07-31,1.0453
