ticker,CXBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-16,-40.1961
2009-04-17,8.1967
2009-04-20,15.1515
2009-04-21,2.6316
2009-04-22,2.5641
2009-04-23,-2.5
2009-04-24,1.2821
2009-04-27,1.2658
2009-04-28,-5.0
2009-04-29,-7.8947
2009-04-30,5.7143
2009-05-06,5.4054
2009-05-07,0.0
2009-05-08,-10.2564
2009-05-11,22.8571
2009-05-12,-4.6512
2009-05-13,9.7561
2009-05-14,6.6667
2009-05-15,10.4167
2009-05-18,-15.0943
2009-05-19,2.2222
2009-05-20,2.1739
2009-05-21,-10.6383
2009-05-22,-11.9048
2009-05-26,5.4054
2009-05-27,0.0
2009-05-28,-16.6667
2009-05-29,1.5385
2009-06-01,0.0
2009-06-02,6.0606
2009-06-03,5.7143
2009-06-04,-10.8108
2009-06-05,0.0
2009-06-08,0.0
2009-06-09,12.1212
2009-06-10,5.4054
2009-06-11,-10.2564
2009-06-12,0.0
2009-06-15,22.8571
2009-06-16,-13.9535
2009-06-17,-5.4054
2009-06-18,0.0
2009-06-19,-2.8571
2009-06-22,14.7059
2009-06-23,12.8205
2009-06-24,25.0
2009-06-25,-46.3636
2009-06-26,-15.2542
2009-06-29,-20.0
2009-06-30,5.0
2009-07-01,28.5714
2009-07-02,-7.4074
2009-07-06,-20.0
2009-07-07,7.5
2009-07-08,-11.6279
2009-07-09,10.0
2009-07-10,-9.0909
2009-07-14,-18.4211
2009-07-15,0.0
2009-07-16,0.0806
2009-07-17,9.589
2009-07-20,-34.7059
2009-07-21,8.1081
2009-07-22,0.0
2009-07-23,-4.1667
2009-07-24,-3.4783
2009-07-27,-9.9099
2009-07-28,-10.0
2009-07-29,-8.8889
2009-07-30,21.9512
2009-08-03,-15.0
2009-08-04,17.647100000000002
2009-08-06,0.0
2009-08-07,-2.5
2009-08-10,-7.6923
2009-08-11,-22.2222
2009-08-12,0.0
2009-08-13,71.4286
2009-08-14,15.0
2009-08-17,-27.5362
2009-08-18,90.0
2009-08-19,-42.1053
2009-08-20,9.0909
2009-08-21,0.0
2009-08-24,0.0
2009-08-25,50.0
2009-08-26,-38.8889
2009-08-28,0.0
2009-08-31,0.0
2009-09-01,-13.6364
2009-09-03,15.7895
2009-09-04,27.2727
2009-09-08,-21.4286
2009-09-10,0.0
2009-09-11,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,9.0909
2009-09-17,-8.3333
2009-09-22,0.0
2009-09-24,0.0
2009-09-28,63.6364
