ticker,ADTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-29,0.0
2010-08-03,0.0
2010-08-10,-16.6667
2010-08-13,-96.0
2010-08-17,1920.0
2010-09-10,1.9802
2010-09-13,-50.4854
2010-09-14,-11.7647
2010-09-20,33.3333
2010-09-22,0.0
2010-09-29,-15.0
2010-09-30,-50.9804
2010-10-01,56.0
2010-10-08,10.2564
2010-10-12,-9.3023
2010-10-13,-23.0769
2010-10-14,-16.6667
2010-10-15,20.0
2010-11-02,50.0
2010-11-04,77.7778
2010-11-05,-37.5
2010-11-08,6.0
2010-11-09,-24.5283
2010-11-10,5.0
2010-11-11,140.4762
2010-11-16,-25.7426
2010-11-19,0.0
2010-11-30,0.0
2010-12-03,34.6667
2010-12-27,-45.5446
2010-12-30,0.0
2011-01-04,18.1818
2011-01-07,38.4615
2011-01-24,-5.5556
2011-01-25,5.8824
2011-01-26,-5.5556
2011-01-27,-41.2941
2011-02-01,0.2004
2011-02-17,70.0
2011-02-23,-16.4706
2011-02-28,-26.7606
2011-03-01,-51.9231
2011-03-02,100.0
2011-03-03,80.0
2011-03-08,0.0
2011-03-09,-22.2222
2011-03-10,-7.1429
2011-03-14,15.3846
2011-03-15,21.3333
2011-03-16,-1.0989
2011-03-21,1.1111
2011-03-22,-1.0989
2011-03-24,1.1111
2011-03-28,-23.0769
2011-04-05,-21.4286
2011-04-06,9.0909
2011-04-12,-8.3333
2011-04-13,-21.8182
2011-04-20,-39.5349
2011-04-21,-3.8462
2011-04-26,0.0
2011-04-27,0.0
2011-05-03,0.0
2011-05-04,60.0
2011-05-09,-25.0
2011-05-10,-15.6667
2011-05-13,-20.9486
2011-05-17,-5.0
2011-06-03,0.0
2011-06-14,0.0
2011-06-24,0.0
2011-07-26,-63.1579
2011-08-05,257.1429
2011-08-09,-4.0
2011-08-10,0.0
2011-08-11,4.1667
2011-08-15,0.0
2011-08-29,0.0
2011-09-09,0.0
2011-09-12,0.0
2011-09-14,-20.0
2011-09-15,45.0
2011-09-16,3.4483
2011-09-20,0.0
2011-09-21,0.0
2011-09-23,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,-3.3333
2011-09-30,-27.5862
2011-10-04,0.0
2011-10-05,-4.7619
2011-10-10,25.0
2011-10-11,-24.0
2011-10-25,31.5789
2011-10-26,-28.0
2011-11-04,61.1111
2011-11-07,-3.4483
2011-11-08,-10.7143
2011-11-09,-40.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-14,0.0
