ticker,PRLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-24,81.25
2012-02-27,-2.7586
2012-02-28,3.7943
2012-02-29,5.0564
2012-03-01,-2.439
2012-03-02,-4.8667
2012-03-05,-4.52
2012-03-06,2.7523
2012-03-07,0.3929
2012-03-08,8.0043
2012-03-09,3.4585
2012-03-12,1.2416
2012-03-13,-0.4403
2012-03-14,4.2325
2012-03-15,3.7576
2012-03-16,0.7301
2012-03-19,-2.8704
2012-03-20,-3.0746
2012-03-21,-1.8171
2012-03-22,0.4705
2012-03-23,1.3113000000000001
2012-03-26,2.3421
2012-03-27,-2.8907
2012-03-28,0.5271
2012-03-29,3.7014
2012-03-30,1.3980000000000001
2012-04-02,3.0507
2012-04-03,0.1993
2012-04-04,-9.4886
2012-04-05,0.9102
2012-04-09,5.6299
2012-04-10,-0.7656
2012-04-11,-1.9881
2012-04-12,-2.634
2012-04-13,-4.2289
2012-04-16,-2.3052
2012-04-17,1.4955
2012-04-18,-0.4584
2012-04-19,4.8026
2012-04-20,4.8336
2012-04-23,-1.4969999999999999
2012-04-24,0.7599
2012-04-25,1.991
2012-04-26,3.9042
2012-04-27,3.359
2012-04-30,2.1757
2012-05-01,4.1779
2012-05-02,-2.044
2012-05-03,-22.1342
2012-05-04,2.8494
2012-05-07,0.8575
2012-05-08,-3.1066
2012-05-09,0.27
2012-05-10,8.2127
2012-05-11,0.0
2012-05-14,-0.8087
2012-05-15,-3.5121
2012-05-16,0.65
2012-05-17,0.3229
2012-05-18,0.7081
2012-05-21,0.032
2012-05-22,1.6294
2012-05-23,0.5344
2012-05-24,5.0969
2012-05-25,1.9339
2012-05-29,-0.0876
2012-05-30,4.0608
2012-05-31,3.5654
2012-06-01,-5.0149
2012-06-04,4.1381
2012-06-05,-2.028
2012-06-06,0.4476
2012-06-07,-2.4784
2012-06-08,-2.2559
2012-06-11,-0.0584
2012-06-12,0.3508
2012-06-13,2.9712
2012-06-14,0.5092
2012-06-15,0.9006
2012-06-18,0.251
2012-06-19,-0.1948
2012-06-20,6.0217
2012-06-21,-6.6789
2012-06-22,-4.5083
2012-06-25,-4.6916
2012-06-26,-5.7585
2012-06-27,-1.3798
2012-06-28,-2.0986
2012-06-29,-2.1436
2012-07-02,4.6245
2012-07-03,5.5833
2012-07-05,-2.5811
2012-07-06,-3.3926
2012-07-09,-0.0334
2012-07-10,0.368
2012-07-11,7.0333
2012-07-12,5.2943
2012-07-13,-0.2662
2012-07-16,1.1566
2012-07-17,10.6127
