ticker,ENVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-31,1.6785999999999999
2014-11-03,0.0
2014-11-04,-0.1405
2014-11-05,4.5023
2014-11-06,1.5819999999999999
2014-11-11,2.9821
2014-11-12,-1.834
2014-11-13,-11.6683
2014-11-14,-6.7904
2014-11-17,-3.3838
2014-11-18,-1.1537
2014-11-19,-1.2505
2014-11-20,-1.1397
2014-11-21,-0.2135
2014-11-24,-1.7544
2014-11-25,-2.8746
2014-11-26,2.5112
2014-11-28,0.5687
2014-12-01,-1.2614
2014-12-02,0.6608
2014-12-03,-2.9759
2014-12-04,-0.9472
2014-12-05,1.2295
2014-12-08,-0.5848
2014-12-09,-0.0905
2014-12-10,-0.4982
2014-12-11,1.9572
2014-12-12,2.8571
2014-12-15,-1.6059
2014-12-16,-3.6170999999999998
2014-12-17,0.6865
2014-12-18,0.5
2014-12-19,-0.6784
2014-12-22,-0.6375
2014-12-23,0.3208
2014-12-24,-0.1827
2014-12-26,0.1831
2014-12-29,0.1827
2014-12-30,1.3224
2014-12-31,0.18
2015-01-02,2.5157
2015-01-05,-1.709
2015-01-06,-5.2608
2015-01-07,0.7529
2015-01-08,0.4671
2015-01-09,-2.6964
2015-01-12,-4.9689
2015-01-13,1.0558
2015-01-14,0.4478
2015-01-15,0.0495
2015-01-16,1.7822
2015-01-20,-1.7023000000000001
2015-01-21,-5.146
2015-01-22,1.252
2015-01-23,1.7002000000000002
2015-01-26,2.077
2015-01-27,-1.1414
2015-01-28,-4.6185
2015-01-29,0.3684
2015-01-30,0.9439
2015-02-02,4.1558
2015-02-03,2.5436
2015-02-04,7.6848
2015-02-05,0.271
2015-02-06,-1.4865
2015-02-09,-0.2743
2015-02-10,0.8253
2015-02-11,0.0
2015-02-12,-0.1819
2015-02-13,1.5945
2015-02-17,-0.6278
2015-02-18,0.2256
2015-02-19,3.0617
2015-02-20,1.5727
2015-02-23,0.172
2015-02-24,-0.9875
2015-02-25,1.2142
2015-02-26,-1.114
2015-02-27,0.0433
2015-03-02,0.3898
2015-03-03,2.3727
2015-03-04,-1.0114
2015-03-05,0.596
2015-03-06,-1.2273
2015-03-09,-1.671
2015-03-10,-0.6536
2015-03-11,0.4386
2015-03-12,0.393
2015-03-13,0.0435
2015-03-16,-0.0435
2015-03-17,0.0
2015-03-18,1.0874
2015-03-19,-0.4303
2015-03-20,2.2904
2015-03-23,3.3798
2015-03-24,0.0817
2015-03-25,-2.8175
2015-03-26,-17.9832
2015-03-27,-1.8443
