ticker,FITX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-21,350.0
2010-08-18,-77.7778
2010-10-15,0.0
2010-10-26,-20.0
2010-11-19,25.0
2010-11-30,0.0
2010-12-03,10.0
2010-12-06,4.5455
2010-12-07,12.1739
2010-12-08,-6.9767
2010-12-09,-15.8333
2010-12-10,-25.7426
2010-12-13,-40.0
2010-12-14,-32.9167
2010-12-15,6.0041
2010-12-16,0.0
2010-12-17,-3.5156
2010-12-20,0.4049
2010-12-21,-22.5806
2010-12-22,-37.5
2010-12-23,-33.3333
2010-12-27,45.0
2010-12-28,10.3448
2010-12-29,0.0
2010-12-30,0.0
2010-12-31,-12.5
2011-01-03,-5.8036
2011-01-04,0.0
2011-01-05,-9.0047
2011-01-06,0.0
2011-01-07,0.0
2011-01-10,-8.3333
2011-01-12,-2.8409
2011-01-13,18.7135
2011-01-14,0.0
2011-01-18,-52.7094
2011-01-19,16.6667
2011-01-20,-14.2857
2011-01-21,39.5833
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-28,0.0
2011-01-31,0.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,0.0
2011-02-07,19.403
2011-02-08,-20.0
2011-02-14,18.75
2011-02-15,3.2895
2011-02-17,-67.5159
2011-02-18,150.9804
2011-02-22,-60.1563
2011-02-23,9.8039
2011-02-25,0.0
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,42.8571
2011-03-03,20.0
2011-03-04,-60.4167
2011-03-07,-15.7895
2011-03-21,-15.625
2011-03-24,0.0
2011-03-25,-22.2222
2011-03-31,128.5714
2011-04-07,-43.75
2011-04-08,-3.7037
2011-04-11,-7.6923
2011-04-12,8.3333
2011-04-14,0.0
2011-04-19,0.0
2011-04-25,0.0
2011-04-27,23.0769
2011-04-28,150.0
2011-04-29,30.0
2011-05-03,53.8462
2011-05-04,-10.0
2011-05-05,22.2222
2011-05-06,9.0909
2011-05-09,0.0
2011-05-10,33.3333
2011-05-11,6.25
2011-05-12,17.647100000000002
2011-05-13,5.0
2011-05-16,14.2857
2011-05-17,-8.3333
2011-05-18,13.0682
2011-05-19,-7.5377
2011-05-20,0.0
2011-05-23,-2.1739
2011-05-24,6.1111
2011-05-25,-0.2618
2011-05-26,0.7874
2011-05-27,0.0
2011-05-31,4.1667
2011-06-01,-4.0
2011-06-02,-0.5208
2011-06-03,0.5236
2011-06-06,-1.3021
2011-06-07,0.0
2011-06-08,-7.124
2011-06-09,0.0
2011-06-10,0.0
