ticker,XPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,8.6614
2000-01-14,-8.6957
2000-01-17,0.0
2000-01-26,11.1111
2000-02-03,25.0
2000-02-08,33.7143
2000-02-09,0.0
2000-02-14,0.8547
2000-04-03,10.1695
2000-05-19,-20.0
2000-06-06,-9.6154
2000-06-12,0.0
2000-06-19,7.4468
2000-08-01,-10.8911
2000-08-09,-2.7778
2000-10-10,-4.5714
2000-10-12,2.3952
2000-10-25,-6.4327
2000-10-27,-20.0
2000-10-30,1.5625
2000-11-01,8.1731
2000-11-06,2.4
2000-11-15,-25.0
2000-11-16,0.0
2000-11-20,-3.7037
2000-11-24,-3.8462
2000-11-27,0.0
2000-11-29,1.8
2000-12-08,37.5246
2000-12-20,-18.5714
2000-12-27,-8.7719
2000-12-29,21.1538
2001-01-01,0.0
2001-01-11,-3.1746
2001-01-12,0.0
2001-01-17,0.0
2001-01-19,-1.6393
2001-01-26,33.3333
2001-01-31,-2.3438
2001-02-06,2.4
2001-02-12,-8.125
2001-02-13,3.4013999999999998
2001-02-16,-15.7895
2001-02-21,12.5
2001-02-28,-10.7205
2001-03-01,-6.6602
2001-03-02,-1.6667
2001-03-09,38.9831
2001-03-12,3.6585
2001-03-13,-3.5294
2001-03-14,10.8155
2001-03-15,-0.227
2001-03-16,0.0
2001-03-19,1.4753
2001-03-20,0.0
2001-03-21,-2.5679
2001-03-22,0.0558
2001-03-23,-10.8014
2001-03-26,3.125
2001-03-27,-3.0303
2001-03-28,1.25
2001-03-29,0.0
2001-03-30,1.2346
2001-04-02,0.0
2001-04-05,-4.878
2001-04-06,0.0
2001-04-11,0.0
2001-04-16,-6.4103
2001-04-17,0.0
2001-04-19,-2.7397
2001-04-24,-6.9894
2001-04-25,-0.0568
2001-05-07,-21.572
2001-05-08,-6.3028
2001-05-09,13.4021
2001-05-10,1.8182
2001-05-17,-8.9286
2001-05-18,1.5686
2001-05-22,4.2471
2001-05-29,-7.4074
2001-05-31,1.0
2001-06-04,-1.1139000000000001
2001-06-05,-4.8811
2001-06-08,11.5789
2001-06-12,-1.8868
2001-06-13,-3.8462
2001-06-14,-8.0
2001-06-20,0.3261
2001-07-05,-1.4085
2001-07-09,-1.0989
2001-07-17,6.6667
2001-07-19,-7.5
2001-07-24,-7.6577
2001-07-31,2.439
2001-08-07,-4.7619
2001-08-09,-2.5
2001-09-10,-12.8205
2001-09-27,-2.261
2001-09-28,-1.8054999999999999
2001-10-04,4.1946
2001-10-10,-5.0
