ticker,GSIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-29,-3.8182
2007-03-30,-0.7561
2007-04-02,-2.8571
2007-04-03,-1.1764999999999999
2007-04-04,0.7937
2007-04-05,3.5433
2007-04-09,0.7605
2007-04-10,0.0
2007-04-11,-1.1320999999999999
2007-04-12,1.145
2007-04-13,8.3019
2007-04-16,1.0453
2007-04-17,-0.3448
2007-04-18,-2.0761
2007-04-19,-3.3569
2007-04-20,-2.3766
2007-04-23,-0.7491
2007-04-24,2.4528
2007-04-25,1.4733
2007-04-26,-0.1815
2007-04-27,0.1818
2007-04-30,-1.9964
2007-05-01,-2.7778
2007-05-02,0.9524
2007-05-03,3.2075
2007-05-04,-1.8282
2007-05-07,-0.1862
2007-05-08,0.0
2007-05-09,1.8657
2007-05-10,-1.4652
2007-05-11,2.0446
2007-05-14,3.4608
2007-05-15,-1.0563
2007-05-16,3.0249
2007-05-17,0.1727
2007-05-18,-0.3448
2007-05-21,-1.3841
2007-05-22,-3.6842
2007-05-23,-4.7359
2007-05-24,5.1625
2007-05-25,-15.2727
2007-05-29,-9.8712
2007-05-30,1.6667
2007-05-31,-0.9368
2007-06-01,0.2364
2007-06-04,0.7075
2007-06-05,1.8735
2007-06-06,0.0
2007-06-07,0.0
2007-06-08,1.1494
2007-06-11,-2.0455
2007-06-12,0.0
2007-06-13,-2.3202
2007-06-14,-0.2375
2007-06-15,0.0
2007-06-18,-0.7143
2007-06-19,5.036
2007-06-20,0.6849
2007-06-21,-0.2268
2007-06-22,3.8636
2007-06-25,0.0
2007-06-26,3.2823
2007-06-27,-0.6356
2007-06-28,0.6397
2007-06-29,1.4830999999999999
2007-07-02,1.8789
2007-07-03,-1.6393
2007-07-05,-5.4167
2007-07-06,2.2026
2007-07-09,-1.7241
2007-07-10,-1.3158
2007-07-11,0.2222
2007-07-12,2.8825
2007-07-13,1.2931
2007-07-16,1.9149
2007-07-17,4.3841
2007-07-18,-3.4
2007-07-19,4.1408
2007-07-20,-0.5964
2007-07-23,1.8
2007-07-24,-6.6798
2007-07-25,-0.6316
2007-07-26,0.8475
2007-07-27,-1.2605
2007-07-30,1.2766
2007-07-31,-0.2101
2007-08-01,0.0
2007-08-02,0.4211
2007-08-03,-18.239
2007-08-06,-3.6795
2007-08-07,-6.8282
2007-08-08,-10.0
2007-08-09,-3.1746
2007-08-10,-3.9344
2007-08-13,-1.7065000000000001
2007-08-14,-9.7222
2007-08-15,0.0
2007-08-16,0.0
2007-08-17,-3.4615
